Instance : ch130.tsp
opt distance : 6110
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	6193	6727	6433.55
2	6175	6506	6303.6
3	6137	6391	6230.9
4	6116	6284	6185.57
5	6111	6215	6156.07
6	6110	6186	6137.26
7	6110	6167	6126.4
8	6110	6133	6120.61
9	6110	6129	6115.51
10	6110	6128	6111.69
11	6110	6124	6110.07
12	6110	6110	6110
trial...2
gene	min	max	ave
1	6198	6833	6418.66
2	6159	6508	6287.55
3	6147	6339	6222.7
4	6115	6267	6183.3
5	6110	6199	6157.23
6	6110	6177	6139.9
7	6110	6171	6127.02
8	6110	6144	6117.64
9	6110	6131	6112.44
10	6110	6124	6110.31
11	6110	6110	6110
trial...3
gene	min	max	ave
1	6211	6724	6410.77
2	6144	6508	6291.49
3	6117	6316	6223.25
4	6115	6304	6181.63
5	6115	6208	6154.83
6	6110	6189	6136.91
7	6110	6158	6123.29
8	6110	6136	6115.47
9	6110	6129	6111.31
10	6110	6124	6110.1
11	6110	6110	6110
trial...4
gene	min	max	ave
1	6202	6746	6411.06
2	6136	6531	6289.77
3	6118	6365	6223.4
4	6110	6263	6178.98
5	6110	6211	6150.43
6	6110	6183	6129.03
7	6110	6155	6116.84
8	6110	6129	6111.23
9	6110	6113	6110.03
10	6110	6110	6110
trial...5
gene	min	max	ave
1	6181	6804	6432.45
2	6176	6464	6301.9
3	6124	6345	6228.07
4	6110	6264	6185.55
5	6110	6227	6154.57
6	6110	6191	6133.21
7	6110	6147	6118.46
8	6110	6133	6112.02
9	6110	6132	6110.18
10	6110	6110	6110
trial...6
gene	min	max	ave
1	6236	6789	6432.29
2	6172	6536	6301.61
3	6140	6345	6229.81
4	6118	6284	6188.5
5	6110	6235	6159.78
6	6110	6196	6138.24
7	6110	6167	6124.38
8	6110	6155	6117.68
9	6110	6129	6112.52
10	6110	6126	6110.31
11	6110	6110	6110
trial...7
gene	min	max	ave
1	6183	6770	6428.1
2	6169	6487	6301.18
3	6139	6371	6229.43
4	6128	6265	6184.48
5	6110	6229	6156.87
6	6110	6190	6136.88
7	6110	6173	6125.41
8	6110	6132	6118.25
9	6110	6128	6113.3
10	6110	6127	6110.76
11	6110	6124	6110.07
12	6110	6110	6110
trial...8
gene	min	max	ave
1	6174	6675	6410.3
2	6155	6442	6291.15
3	6115	6337	6223.19
4	6110	6268	6182.82
5	6110	6220	6157.32
6	6110	6180	6138.67
7	6110	6168	6123.99
8	6110	6144	6113.61
9	6110	6130	6110.55
10	6110	6110	6110
trial...9
gene	min	max	ave
1	6225	6708	6405.85
2	6198	6424	6285.1
3	6151	6322	6222.29
4	6118	6258	6183.19
5	6110	6238	6156.15
6	6110	6196	6137.74
7	6110	6169	6122.44
8	6110	6151	6113.56
9	6110	6133	6110.68
10	6110	6110	6110
trial...10
gene	min	max	ave
1	6213	6716	6428.19
2	6150	6513	6295.49
3	6135	6363	6223.34
4	6110	6267	6182.34
5	6110	6225	6153.65
6	6110	6187	6133.62
7	6110	6165	6120.21
8	6110	6131	6113.77
9	6110	6128	6110.85
10	6110	6110	6110
opt count : 10
opt average : 6110
convergence generation : 10.7
