Instance : d1291.tsp
opt distance : 50801
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	54124	59015	56291.5
2	53372	56842	54862.2
3	52646	55068	53810.1
4	51960	54193	52984.4
5	51569	53578	52353.1
6	51272	52582	51842.6
7	51108	51981	51504.1
8	51027	51851	51266.8
9	50966	51409	51120
10	50905	51196	51017.2
11	50847	51043	50938.8
12	50809	50952	50885.8
13	50801	50901	50846.3
14	50801	50879	50820.1
15	50801	50844	50807
16	50801	50842	50801.5
17	50801	50803	50801
18	50801	50801	50801
trial...2
gene	min	max	ave
1	53578	59071	56366.6
2	53035	56784	54992.4
3	52706	55519	53921.2
4	51711	54256	53090.2
5	51625	53487	52437.9
6	51359	52688	51930.9
7	51205	52229	51562.7
8	51085	51671	51309.4
9	51019	51356	51161.6
10	50951	51192	51060
11	50862	51098	50987.5
12	50839	51005	50933
13	50818	50960	50893.6
14	50804	50909	50864.2
15	50801	50894	50842.3
16	50801	50890	50823.7
17	50801	50870	50809
18	50801	50846	50802.1
19	50801	50816	50801.1
20	50801	50801	50801
trial...3
gene	min	max	ave
1	54187	59648	56426.6
2	53329	57000	54961.8
3	52787	55498	53877.1
4	52137	54333	53017.6
5	51717	53297	52358.4
6	51386	52571	51873.7
7	51166	52302	51528.7
8	51096	51734	51300.8
9	51037	51394	51152.1
10	50908	51269	51046.2
11	50895	51101	50977.8
12	50857	50992	50933.3
13	50848	50948	50904.4
14	50845	50927	50884.7
15	50842	50907	50869
16	50842	50890	50857.1
17	50842	50875	50848.6
18	50842	50875	50844.4
19	50842	50845	50843.3
20	50842	50844	50842.7
21	50842	50844	50842.2
22	50842	50844	50842
23	50842	50842	50842
trial...4
gene	min	max	ave
1	54619	58640	56349.5
2	53384	57015	54983.4
3	52702	55344	53928.1
4	52079	54376	53098.1
5	51597	53408	52447.3
6	51405	52765	51945.4
7	51169	52264	51575.1
8	51072	51595	51326.3
9	51005	51360	51172.2
10	50952	51221	51069.8
11	50880	51117	50987.3
12	50832	51037	50926.1
13	50805	50950	50871.9
14	50801	50901	50828.6
15	50801	50854	50807.8
16	50801	50844	50802.7
17	50801	50803	50801.2
18	50801	50803	50801
19	50801	50801	50801
trial...5
gene	min	max	ave
1	54720	58824	56543.8
2	53585	56363	55125.7
3	52953	55125	54075
4	51937	54184	53246.7
5	51642	53600	52580.8
6	51423	52784	52032.6
7	51258	52332	51625.9
8	51152	51829	51354.5
9	51017	51391	51174.2
10	50937	51222	51063.2
11	50897	51082	50986.7
12	50849	51008	50930.9
13	50804	50954	50890.1
14	50801	50909	50861.4
15	50801	50892	50831.9
16	50801	50884	50809.8
17	50801	50824	50801.5
18	50801	50803	50801
19	50801	50801	50801
trial...6
gene	min	max	ave
1	54549	59754	56430.5
2	53138	56525	55007.2
3	52468	55487	53948.4
4	51960	54300	53114.8
5	51704	53321	52450.4
6	51365	52499	51972.4
7	51305	52057	51639.9
8	51136	51719	51415.4
9	51072	51462	51267.4
10	51017	51335	51152.9
11	50952	51192	51067.8
12	50887	51098	51000.5
13	50866	51077	50944
14	50816	50983	50895.9
15	50801	50916	50859.5
16	50801	50891	50830.1
17	50801	50853	50810.3
18	50801	50838	50802.8
19	50801	50801	50801
trial...7
gene	min	max	ave
1	54424	59107	56464.5
2	53082	56890	55019.4
3	52556	55346	53918.6
4	52182	54071	53061.5
5	51726	53453	52402.9
6	51297	52952	51907.1
7	51232	52013	51593.4
8	51127	51815	51367.5
9	50988	51452	51217.5
10	50944	51304	51103.7
11	50880	51159	51012.2
12	50837	51081	50938.7
13	50801	51007	50880.9
14	50801	50927	50838.7
15	50801	50888	50812.7
16	50801	50831	50802.2
17	50801	50825	50801.1
18	50801	50801	50801
trial...8
gene	min	max	ave
1	54327	58817	56497.7
2	53537	56443	55021.2
3	52732	55223	53924
4	51880	54457	53056.5
5	51552	53665	52397.1
6	51334	52730	51878.5
7	51153	52134	51479.8
8	51040	51702	51249.2
9	50972	51279	51109.4
10	50912	51161	51018.9
11	50858	51037	50953.2
12	50833	50977	50906.6
13	50803	50944	50869.9
14	50801	50892	50841.4
15	50801	50876	50820.8
16	50801	50850	50806.4
17	50801	50818	50801.6
18	50801	50803	50801
19	50801	50801	50801
trial...9
gene	min	max	ave
1	54153	58568	56448.8
2	53036	56760	55023.2
3	52591	55398	53901.6
4	52058	54287	53031.1
5	51480	53493	52341
6	51354	52645	51840.6
7	51183	52045	51504.8
8	51091	51650	51285.7
9	50990	51341	51133
10	50938	51179	51029.7
11	50884	51042	50959.1
12	50826	50981	50910.8
13	50807	50931	50873.1
14	50801	50890	50846.3
15	50801	50888	50825.7
16	50801	50851	50810.5
17	50801	50820	50802.5
18	50801	50803	50801
19	50801	50801	50801
trial...10
gene	min	max	ave
1	54246	58614	56430
2	52898	57052	55014.6
3	52256	55327	53910
4	52115	54298	53106.6
5	51484	53395	52447.1
6	51303	52931	51913.6
7	51164	51986	51529.2
8	51081	51722	51294.8
9	50976	51373	51136.9
10	50927	51148	51037.2
11	50868	51053	50970.8
12	50860	50990	50924.5
13	50831	50944	50890.8
14	50807	50919	50865.9
15	50802	50881	50846
16	50801	50875	50827.1
17	50801	50851	50810.8
18	50801	50820	50802.8
19	50801	50804	50801.1
20	50801	50803	50801
21	50801	50801	50801
opt count : 9
opt average : 50805.1
convergence generation : 19.5
