Instance : fnl4461.tsp
opt distance : 182566
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	198385	201660	199633
2	197230	199271	198124
3	196114	197893	196890
4	194985	196639	195816
5	194031	195757	194878
6	193263	194717	194040
7	192736	193879	193298
8	191928	193207	192624
9	190915	192708	192016
10	190507	191959	191449
11	190262	191537	190924
12	189704	191084	190433
13	189360	190466	189959
14	188912	189984	189523
15	188611	189528	189123
16	188118	189149	188741
17	187711	188796	188368
18	187447	188462	188031
19	187129	188128	187686
20	186950	187781	187372
21	186572	187548	187079
22	186308	187136	186791
23	186063	186883	186501
24	185652	186567	186253
25	185555	186289	186013
26	185336	186151	185782
27	185172	185906	185560
28	184998	185565	185354
29	184872	185450	185166
30	184639	185195	184977
31	184455	185029	184801
32	184338	184930	184638
33	184235	184667	184477
34	184115	184502	184322
35	184006	184400	184177
36	183785	184255	184051
37	183717	184120	183926
38	183649	183963	183808
39	183521	183865	183702
40	183463	183738	183597
41	183389	183617	183504
42	183307	183523	183417
43	183232	183449	183339
44	183169	183372	183271
45	183106	183280	183206
46	183044	183223	183146
47	182990	183159	183092
48	182969	183112	183044
49	182946	183062	182998
50	182906	183013	182956
51	182874	182976	182917
52	182851	182923	182883
53	182828	182888	182855
54	182809	182862	182833
55	182795	182834	182815
56	182788	182819	182801
57	182778	182803	182791
58	182772	182796	182782
59	182763	182788	182774
60	182757	182778	182768
61	182755	182772	182762
62	182755	182769	182758
63	182755	182766	182756
64	182755	182756	182755
65	182755	182756	182755
66	182755	182755	182755
trial...2
gene	min	max	ave
1	198312	201141	199648
2	197051	199128	198136
3	195873	197863	196887
4	195065	196559	195817
5	193997	195493	194872
6	193360	194660	194045
7	192563	193944	193326
8	191766	193290	192641
9	191107	192551	192029
10	190711	191966	191471
11	190362	191526	190952
12	189824	191120	190459
13	189280	190501	189998
14	189033	190112	189572
15	188537	189698	189151
16	188143	189221	188766
17	187864	188955	188406
18	187522	188430	188053
19	187239	188103	187732
20	186874	187859	187408
21	186667	187488	187106
22	186394	187189	186815
23	186064	186923	186543
24	185935	186687	186277
25	185653	186339	186034
26	185459	186140	185799
27	185188	185930	185572
28	184945	185722	185355
29	184791	185417	185145
30	184584	185174	184948
31	184450	185020	184763
32	184297	184843	184596
33	184189	184680	184431
34	183982	184517	184273
35	183833	184322	184123
36	183750	184161	183981
37	183635	184007	183847
38	183559	183879	183725
39	183459	183770	183614
40	183381	183649	183516
41	183269	183549	183426
42	183216	183454	183335
43	183139	183363	183254
44	183027	183284	183177
45	182990	183206	183108
46	182958	183154	183047
47	182911	183078	182992
48	182885	183008	182942
49	182853	182983	182903
50	182821	182904	182868
51	182795	182878	182837
52	182775	182847	182808
53	182753	182811	182783
54	182741	182786	182763
55	182727	182768	182747
56	182718	182748	182733
57	182706	182735	182722
58	182704	182724	182713
59	182701	182713	182706
60	182700	182707	182702
61	182700	182702	182701
62	182700	182701	182700
63	182700	182701	182700
64	182700	182700	182700
trial...3
gene	min	max	ave
1	198350	201411	199705
2	196447	199216	198184
3	196005	197900	196928
4	195135	196688	195868
5	194155	195791	194925
6	193437	194746	194113
7	192515	194212	193338
8	191830	193345	192653
9	191332	192567	192013
10	190881	192017	191423
11	190245	191338	190899
12	189674	190822	190386
13	189310	190454	189910
14	188928	189934	189476
15	188566	189471	189061
16	188145	189119	188681
17	187702	188692	188334
18	187340	188387	187975
19	187029	187990	187650
20	186725	187680	187327
21	186526	187413	187019
22	186310	187106	186721
23	185956	186837	186433
24	185837	186487	186183
25	185560	186300	185948
26	185350	186062	185709
27	185076	185815	185487
28	184926	185569	185272
29	184709	185397	185067
30	184519	185134	184867
31	184414	184976	184686
32	184296	184701	184521
33	184114	184600	184368
34	184007	184447	184224
35	183864	184345	184095
