Instance : kroA200.tsp
opt distance : 29368
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	29779	32644	31323
2	29512	31384	30613.4
3	29471	30892	30132.5
4	29436	30251	29787.1
5	29375	29958	29563.7
6	29368	29739	29439.7
7	29368	29594	29385.1
8	29368	29442	29370.8
9	29368	29373	29368
10	29368	29368	29368
trial...2
gene	min	max	ave
1	30102	32577	31236.8
2	29658	31312	30517
3	29522	30761	30052.8
4	29463	30471	29737.6
5	29383	29923	29550.9
6	29368	29690	29447.1
7	29368	29502	29396.3
8	29368	29442	29374.8
9	29368	29394	29369.6
10	29368	29382	29368.1
11	29368	29368	29368
trial...3
gene	min	max	ave
1	29951	32662	31270
2	29770	31434	30526.4
3	29462	30974	30074.7
4	29408	30333	29745.9
5	29368	29924	29539.1
6	29368	29624	29430.9
7	29368	29485	29383.6
8	29368	29387	29370.2
9	29368	29383	29368.5
10	29368	29368	29368
trial...4
gene	min	max	ave
1	30009	32454	31180.6
2	29671	31595	30477.4
3	29493	30743	30017
4	29408	30179	29729.8
5	29380	29829	29540.4
6	29368	29653	29431
7	29368	29470	29383.9
8	29368	29446	29369.9
9	29368	29368	29368
trial...5
gene	min	max	ave
1	30189	32590	31204.5
2	29696	31340	30496.2
3	29500	30567	30029.5
4	29401	30271	29738.2
5	29375	29879	29544.7
6	29368	29820	29424
7	29368	29530	29378.7
8	29368	29389	29369.1
9	29368	29377	29368
10	29368	29368	29368
trial...6
gene	min	max	ave
1	29759	32660	31237.2
2	29636	31411	30532.7
3	29549	30684	30065.9
4	29401	30297	29747.8
5	29375	29861	29538.7
6	29368	29711	29431.9
7	29368	29497	29385.5
8	29368	29401	29372.5
9	29368	29384	29368.5
10	29368	29368	29368
trial...7
gene	min	max	ave
1	30066	32497	31275.4
2	29858	31380	30569.8
3	29545	30895	30094.1
4	29396	30345	29756.8
5	29377	29885	29553.5
6	29368	29590	29447.8
7	29368	29475	29399
8	29368	29445	29374.9
9	29368	29382	29368.7
10	29368	29368	29368
trial...8
gene	min	max	ave
1	29830	32449	31190.4
2	29542	31470	30468.3
3	29409	30742	30036.4
4	29383	30189	29753.8
5	29368	29912	29580.3
6	29368	29717	29467.6
7	29368	29606	29403.5
8	29368	29514	29375.6
9	29368	29382	29368.3
10	29368	29368	29368
trial...9
gene	min	max	ave
1	30096	33065	31279.9
2	29668	31416	30572.2
3	29496	30801	30064.1
4	29394	30182	29736.8
5	29368	29873	29542.5
6	29368	29661	29432.2
7	29368	29488	29385.7
8	29368	29452	29369.9
9	29368	29383	29368.1
10	29368	29368	29368
trial...10
gene	min	max	ave
1	29946	32725	31319
2	29780	31817	30579.5
3	29524	30856	30070.8
4	29410	30372	29723.9
5	29368	29880	29521.5
6	29368	29695	29418.5
7	29368	29482	29377.9
8	29368	29383	29368.5
9	29368	29368	29368
opt count : 10
opt average : 29368
convergence generation : 9.9
