Instance : kroB150.tsp
opt distance : 26130
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	26367	28853	27426.7
2	26229	27776	26861.1
3	26202	27307	26520.1
4	26141	26652	26317
5	26130	26423	26215.2
6	26130	26235	26165.5
7	26130	26203	26141.2
8	26130	26152	26133.5
9	26130	26141	26130.7
10	26130	26141	26130.1
11	26130	26130	26130
trial...2
gene	min	max	ave
1	26586	28946	27510.4
2	26366	28043	26909.9
3	26141	27316	26528.9
4	26136	26957	26312.2
5	26130	26401	26205.1
6	26130	26311	26158.7
7	26130	26221	26139.2
8	26130	26148	26132.4
9	26130	26141	26130.4
10	26130	26132	26130
11	26130	26130	26130
trial...3
gene	min	max	ave
1	26548	28954	27525.7
2	26308	27813	26933.8
3	26183	27136	26570.6
4	26141	26773	26342.1
5	26135	26496	26232.1
6	26130	26333	26169.2
7	26130	26235	26145
8	26130	26187	26138
9	26130	26143	26134.7
10	26130	26141	26131.8
11	26130	26141	26130.3
12	26130	26130	26130
trial...4
gene	min	max	ave
1	26615	28687	27482.8
2	26338	27868	26923.3
3	26233	27408	26582.5
4	26141	26836	26367.9
5	26141	26542	26252.5
6	26130	26359	26193.3
7	26130	26238	26158
8	26130	26192	26138.8
9	26130	26146	26131.9
10	26130	26136	26130.5
11	26130	26132	26130
12	26130	26130	26130
trial...5
gene	min	max	ave
1	26546	28531	27480.9
2	26308	27891	26932.5
3	26166	27169	26573.1
4	26141	26792	26357.1
5	26130	26497	26239.3
6	26130	26317	26176.7
7	26130	26252	26145.7
8	26130	26192	26132.8
9	26130	26141	26130.4
10	26130	26132	26130
11	26130	26130	26130
trial...6
gene	min	max	ave
1	26572	28887	27506.5
2	26252	27809	26931.7
3	26187	27150	26577.2
4	26141	26754	26350.7
5	26130	26485	26239.8
6	26130	26316	26184
7	26130	26228	26153.5
8	26130	26193	26136.3
9	26130	26142	26130.8
10	26130	26130	26130
trial...7
gene	min	max	ave
1	26685	28673	27474.2
2	26296	27811	26910.8
3	26159	27097	26571.8
4	26130	26787	26365.5
5	26130	26449	26242.1
6	26130	26346	26176.6
7	26130	26236	26141.3
8	26130	26176	26131.2
9	26130	26130	26130
trial...8
gene	min	max	ave
1	26415	28587	27422.8
2	26252	27516	26869.8
3	26153	27086	26541.7
4	26141	26728	26340.5
5	26130	26417	26218
6	26130	26246	26165.1
7	26130	26226	26142.8
8	26130	26161	26133.1
9	26130	26150	26130.4
10	26130	26130	26130
trial...9
gene	min	max	ave
1	26396	28907	27520.3
2	26135	27779	26928
3	26130	27115	26552.1
4	26130	26790	26343
5	26130	26523	26225.1
6	26130	26289	26165.1
7	26130	26232	26138.5
8	26130	26159	26131
9	26130	26130	26130
trial...10
gene	min	max	ave
1	26476	28639	27425
2	26310	27591	26866.2
3	26178	27034	26526.6
4	26141	26775	26319.9
5	26130	26488	26217.3
6	26130	26309	26167.8
7	26130	26261	26143
8	26130	26152	26134.8
9	26130	26141	26131.6
10	26130	26141	26130.2
11	26130	26130	26130
opt count : 10
opt average : 26130
convergence generation : 10.6
