Instance : kroE100.tsp
opt distance : 22068
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	22257	24554	23079.1
2	22140	23617	22598.1
3	22100	22849	22353.5
4	22068	22634	22224.1
5	22068	22430	22146.7
6	22068	22282	22109.3
7	22068	22196	22091.2
8	22068	22138	22078.2
9	22068	22100	22069.8
10	22068	22068	22068
trial...2
gene	min	max	ave
1	22351	24195	23014.2
2	22106	23292	22559.1
3	22068	22688	22336.1
4	22068	22537	22216.1
5	22068	22355	22141.6
6	22068	22206	22104
7	22068	22162	22083.4
8	22068	22111	22071.5
9	22068	22079	22068.1
10	22068	22068	22068
trial...3
gene	min	max	ave
1	22226	24145	23066.1
2	22115	23338	22617.5
3	22073	22717	22352.5
4	22068	22586	22216.3
5	22068	22347	22140.8
6	22068	22184	22106.9
7	22068	22173	22090.9
8	22068	22121	22079.3
9	22068	22106	22070.1
10	22068	22100	22068.2
11	22068	22068	22068
trial...4
gene	min	max	ave
1	22404	24102	23039.3
2	22124	23206	22583.2
3	22068	22746	22342.5
4	22068	22453	22199.5
5	22068	22327	22132.4
6	22068	22160	22105.2
7	22068	22140	22093.6
8	22068	22111	22083.4
9	22068	22106	22074
10	22068	22100	22068.8
11	22068	22068	22068
trial...5
gene	min	max	ave
1	22173	23980	23030.6
2	22127	23436	22567.9
3	22068	22863	22314.9
4	22068	22424	22173.3
5	22068	22370	22117.2
6	22068	22174	22092.4
7	22068	22140	22079.3
8	22068	22106	22070
9	22068	22068	22068
trial...6
gene	min	max	ave
1	22141	24295	23092.5
2	22140	23440	22633.6
3	22068	22880	22379.2
4	22068	22586	22244
5	22068	22450	22157.6
6	22068	22282	22116.7
7	22068	22140	22094.3
8	22068	22140	22078.7
9	22068	22121	22070.5
10	22068	22068	22068
trial...7
gene	min	max	ave
1	22187	23898	23023.7
2	22115	23090	22555.2
3	22079	22729	22335
4	22068	22527	22217.2
5	22068	22316	22146.9
6	22068	22238	22114.3
7	22068	22162	22096.3
8	22068	22140	22082.6
9	22068	22106	22071.9
10	22068	22100	22068.5
11	22068	22068	22068
trial...8
gene	min	max	ave
1	22262	24211	23014.4
2	22178	23167	22604.5
3	22100	22785	22376.6
4	22068	22598	22231.5
5	22068	22363	22153.9
6	22068	22224	22114.5
7	22068	22140	22094.8
8	22068	22121	22081.7
9	22068	22106	22072.5
10	22068	22100	22068.5
11	22068	22068	22068
trial...9
gene	min	max	ave
1	22330	23907	23026.1
2	22134	23290	22569
3	22084	22774	22311.4
4	22068	22484	22189.9
5	22068	22321	22127.6
6	22068	22173	22099.9
7	22068	22140	22083.4
8	22068	22106	22072
9	22068	22079	22068.2
10	22068	22068	22068
trial...10
gene	min	max	ave
1	22137	24169	23054.3
2	22137	23277	22601.8
3	22068	23075	22364.1
4	22068	22672	22236.4
5	22068	22469	22149.8
6	22068	22321	22103.2
7	22068	22144	22085.3
8	22068	22111	22073.9
9	22068	22106	22068.9
10	22068	22068	22068
opt count : 10
opt average : 22068
convergence generation : 10.3
