Instance : linhp318.tsp
opt distance : 41345
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	43505	46483	44830.3
2	43222	44827	43995.6
3	42852	44121	43436.2
4	42636	43543	43059.1
5	42274	43306	42771.9
6	42196	42954	42541.6
7	42102	42754	42358
8	42046	42500	42216.6
9	42029	42307	42133.1
10	42029	42243	42090.6
11	42029	42143	42059.5
12	42029	42107	42038.4
13	42029	42091	42030.8
14	42029	42029	42029
trial...2
gene	min	max	ave
1	43626	46083	44720.4
2	43001	44954	43943.6
3	42774	43976	43419.8
4	42523	43577	43047
5	42257	43152	42753.5
6	42164	42891	42543.5
7	42112	42713	42370.5
8	42082	42496	42235.1
9	42029	42339	42150.1
10	42029	42211	42102.6
11	42029	42129	42073.7
12	42029	42107	42056.8
13	42029	42100	42040.9
14	42029	42091	42031.5
15	42029	42029	42029
trial...3
gene	min	max	ave
1	43359	46257	44764.9
2	43044	44986	43944.4
3	42694	44110	43407.7
4	42581	43676	43019.4
5	42400	43083	42734.2
6	42128	42975	42491.3
7	42051	42577	42310.9
8	42029	42406	42175.3
9	42029	42246	42089.1
10	42029	42160	42046.8
11	42029	42134	42032.4
12	42029	42029	42029
trial...4
gene	min	max	ave
1	43468	46366	44723.5
2	42735	45093	43884.2
3	42643	44120	43362.8
4	42368	43679	42973
5	42241	43135	42682.1
6	42176	42828	42454.6
7	42086	42702	42290.2
8	42029	42401	42174
9	42029	42224	42101.4
10	42029	42148	42061.6
11	42029	42102	42039.6
12	42029	42083	42030.4
13	42029	42029	42029
trial...5
gene	min	max	ave
1	43727	46729	44739.4
2	43090	45157	43912
3	42864	44170	43384.7
4	42421	43583	43006.3
5	42236	43214	42737.9
6	42173	42912	42526.1
7	42102	42634	42353.7
8	42066	42517	42227.4
9	42029	42332	42156.4
10	42029	42246	42111.5
11	42029	42170	42083.2
12	42029	42120	42058.9
13	42029	42107	42039
14	42029	42091	42031
15	42029	42029	42029
trial...6
gene	min	max	ave
1	43471	46079	44779.2
2	42827	44951	43977.7
3	42602	44094	43444.9
4	42498	43627	43040.4
5	42397	43084	42752.5
6	42227	42873	42540.9
7	42116	42706	42371.6
8	42029	42443	42246.9
9	42029	42377	42157.1
10	42029	42284	42099.4
11	42029	42148	42069
12	42029	42107	42051.6
13	42029	42097	42038
14	42029	42083	42029.9
15	42029	42029	42029
trial...7
gene	min	max	ave
1	43297	46875	44721
2	42949	44831	43867
3	42651	43864	43322.9
4	42341	43407	42954.4
5	42213	43156	42676.4
6	42159	42814	42458.5
7	42091	42568	42298.5
8	42029	42441	42196.1
9	42029	42248	42132.9
10	42029	42196	42096.2
11	42029	42143	42067.8
12	42029	42137	42044.4
13	42029	42091	42031.6
14	42029	42083	42029.3
15	42029	42029	42029
trial...8
gene	min	max	ave
1	43562	46355	44819.9
2	43019	44890	43961.6
3	42823	44064	43421.7
4	42531	43500	43032.2
5	42416	43190	42764.3
6	42213	42991	42540.9
7	42120	42576	42373.6
8	42098	42525	42258.9
9	42029	42363	42175.8
10	42029	42250	42117.6
11	42029	42193	42075.7
12	42029	42145	42041.9
13	42029	42083	42029.8
14	42029	42029	42029
trial...9
gene	min	max	ave
1	43369	46257	44779.1
2	43018	45024	43917
3	42720	44042	43358.8
4	42444	43549	42990.7
5	42277	43156	42688.4
6	42203	42847	42480.1
7	42082	42601	42323.3
8	42040	42442	42220.6
9	42029	42270	42149.7
10	42029	42215	42105.4
11	42029	42179	42071.9
12	42029	42148	42042.7
13	42029	42091	42031.6
14	42029	42049	42029.1
15	42029	42029	42029
trial...10
gene	min	max	ave
1	43382	46517	44756.5
2	43092	45007	43916.7
3	42600	44170	43362.3
4	42424	43611	42982.4
5	42317	43301	42697.1
6	42225	42846	42483.5
7	42141	42663	42318.1
8	42040	42417	42202.7
9	42029	42291	42133.9
10	42029	42180	42089.2
11	42029	42143	42056.9
12	42029	42142	42032.3
13	42029	42029	42029
opt count : 0
opt average : 42029
convergence generation : 14.1
