Instance : pcb442.tsp
opt distance : 50778
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	53481	56900	54920.2
2	52710	54959	53774.3
3	52102	53793	52951.1
4	51594	53022	52358
5	51214	52471	51871.8
6	51090	52095	51520.5
7	50977	51693	51249.8
8	50934	51390	51068.9
9	50907	51152	50972.2
10	50878	50994	50936.5
11	50868	50960	50927.3
12	50861	50938	50919.7
13	50829	50934	50909.6
14	50829	50931	50896.2
15	50811	50929	50878.9
16	50811	50922	50860.9
17	50811	50901	50846.2
18	50811	50862	50834.2
19	50811	50862	50826.7
20	50811	50844	50821.6
21	50811	50829	50816.8
22	50811	50829	50813.1
23	50811	50829	50811.3
24	50811	50811	50811
trial...2
gene	min	max	ave
1	53167	56613	54968.3
2	52623	54932	53810.2
3	52175	53696	52947.4
4	51755	52950	52354.8
5	51350	52453	51885
6	51193	51942	51541.2
7	51006	51611	51281.4
8	50883	51474	51114.2
9	50819	51172	50993.5
10	50778	51051	50923.6
11	50778	50956	50866
12	50778	50928	50818.8
13	50778	50916	50786.5
14	50778	50792	50779.5
15	50778	50778	50778
trial...3
gene	min	max	ave
1	53331	56858	54909
2	52817	55039	53690.3
3	51957	53740	52866.7
4	51722	52879	52272
5	51327	52287	51819.4
6	51144	52055	51476.3
7	50989	51655	51222.9
8	50942	51438	51062.6
9	50843	51120	50971.7
10	50808	51032	50933.9
11	50792	50997	50913
12	50778	50936	50888.6
13	50778	50931	50852.1
14	50778	50919	50818.7
15	50778	50912	50799.1
16	50778	50818	50788.6
17	50778	50808	50782
18	50778	50790	50779.2
19	50778	50790	50778.1
20	50778	50778	50778
trial...4
gene	min	max	ave
1	52997	56549	54806.9
2	52541	55080	53685.2
3	52021	53730	52873.7
4	51635	53009	52288
5	51346	52343	51827
6	51164	51835	51488.4
7	50982	51596	51247.9
8	50912	51416	51086.5
9	50889	51207	50982.7
10	50815	51089	50936.5
11	50815	50942	50915.2
12	50810	50940	50897.3
13	50808	50929	50872.7
14	50803	50912	50843.8
15	50803	50912	50821.5
16	50803	50824	50811.4
17	50803	50815	50808.3
18	50803	50815	50805.4
19	50803	50815	50803.4
20	50803	50803	50803
trial...5
gene	min	max	ave
1	53211	56666	54937.2
2	52490	55020	53786.4
3	51986	53869	52969.7
4	51760	53029	52366.7
5	51409	52615	51886.7
6	51148	51975	51547
7	50984	51603	51294
8	50944	51393	51137.8
9	50854	51281	51019.7
10	50815	51149	50942.4
11	50783	51049	50890.2
12	50778	50929	50851.2
13	50778	50925	50814.1
14	50778	50864	50790.3
15	50778	50847	50782.7
16	50778	50785	50779.9
17	50778	50785	50778.4
18	50778	50785	50778
19	50778	50778	50778
trial...6
gene	min	max	ave
1	53607	56590	54997.3
2	52816	55011	53812.4
3	51925	53802	52951.8
4	51643	52934	52311.5
5	51284	52421	51843.1
6	51121	52073	51504.9
7	50985	51562	51259.5
8	50938	51397	51090.2
9	50828	51187	50982.4
10	50801	51029	50924.5
11	50778	50938	50897.1
12	50778	50921	50872.6
13	50778	50915	50840.3
14	50778	50912	50808.3
15	50778	50891	50788.2
16	50778	50808	50780.9
17	50778	50808	50778.3
18	50778	50778	50778
trial...7
gene	min	max	ave
1	53068	56642	54908.7
2	52584	54865	53749.9
3	52141	53739	52884
4	51690	52845	52249.4
5	51467	52423	51819.9
6	51123	51869	51514.5
7	51046	51584	51286.5
8	50938	51369	51117
9	50872	51287	51000.4
10	50813	51080	50937.4
11	50811	50956	50905.2
12	50790	50934	50877.2
13	50790	50925	50847.3
14	50790	50912	50818.4
15	50790	50886	50798.6
16	50790	50873	50791.5
17	50790	50804	50790.1
18	50790	50790	50790
trial...8
gene	min	max	ave
1	53165	57023	54922.4
2	52695	54942	53790
3	52208	53768	52957.6
4	51541	53022	52346.8
5	51240	52477	51895
6	51074	51978	51546.8
7	51030	51670	51304.3
8	50949	51375	51138.3
9	50903	51173	51027.9
10	50816	51103	50955.9
11	50810	51016	50920.2
12	50804	50937	50901
13	50797	50931	50880.9
14	50790	50919	50856.9
15	50790	50912	50825.6
16	50790	50904	50802.5
17	50790	50815	50791.6
18	50790	50803	50790.1
19	50790	50790	50790
trial...9
gene	min	max	ave
1	53347	56609	54940.1
2	52609	55178	53739.9
3	52002	53836	52924.2
4	51447	52972	52311.4
5	51313	52481	51842.1
6	51084	51995	51503
7	51001	51651	51251.9
8	50933	51292	51085.9
9	50915	51167	50986.1
10	50835	51021	50940.9
11	50811	50964	50924.5
12	50811	50935	50914
13	50791	50931	50904
14	50791	50922	50889.8
15	50783	50922	50869.4
16	50783	50912	50840.1
17	50778	50912	50808.1
18	50778	50851	50790.8
19	50778	50808	50786.5
20	50778	50791	50783.4
21	50778	50791	50780.1
22	50778	50783	50778.6
23	50778	50783	50778.1
24	50778	50778	50778
trial...10
gene	min	max	ave
1	53031	56246	54888.5
2	52594	55184	53714.1
3	51967	53821	52884.8
4	51673	53052	52265.3
5	51367	52280	51818.7
6	51169	51999	51483.1
7	51034	51612	51258.1
8	50960	51276	51095.8
9	50838	51163	50996.4
10	50810	51043	50941.7
11	50808	50957	50916
12	50808	50934	50895.6
13	50808	50925	50871.3
14	50808	50915	50844.3
15	50808	50912	50818.1
16	50808	50904	50809
17	50808	50808	50808
opt count : 5
opt average : 50789.2
convergence generation : 19.4
