Instance : pr439.tsp
opt distance : 107217
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	110234	123102	115732
2	108635	117876	112810
3	108438	114340	110679
4	108023	112135	109269
5	107707	110218	108429
6	107461	108517	107917
7	107372	108015	107605
8	107228	107796	107419
9	107217	107513	107309
10	107217	107429	107250
11	107217	107298	107226
12	107217	107250	107219
13	107217	107217	107217
trial...2
gene	min	max	ave
1	111835	121223	116213
2	109146	117198	113345
3	108576	114176	111265
4	108293	112812	109786
5	107736	110373	108757
6	107480	109467	108141
7	107311	108462	107744
8	107217	108032	107501
9	107217	107598	107348
10	107217	107398	107261
11	107217	107297	107223
12	107217	107222	107218
13	107217	107222	107217
14	107217	107222	107217
15	107217	107217	107217
trial...3
gene	min	max	ave
1	111143	122354	116103
2	109726	117760	113181
3	108556	113956	111090
4	108229	112615	109589
5	107780	110411	108608
6	107551	108644	108088
7	107363	108197	107741
8	107302	107897	107511
9	107252	107630	107373
10	107222	107467	107292
11	107217	107393	107255
12	107217	107298	107244
13	107217	107255	107237
14	107217	107250	107229
15	107217	107250	107221
16	107217	107250	107217
17	107217	107217	107217
trial...4
gene	min	max	ave
1	110531	122277	115862
2	109319	116585	112973
3	108830	114772	110968
4	108173	111226	109600
5	107856	109845	108688
6	107393	108784	108128
7	107290	108352	107776
8	107269	107961	107525
9	107222	107672	107360
10	107217	107427	107270
11	107217	107316	107239
12	107217	107265	107226
13	107217	107255	107218
14	107217	107222	107217
15	107217	107217	107217
trial...5
gene	min	max	ave
1	110673	122786	116039
2	108852	118865	112948
3	108550	115441	110837
4	108154	111920	109432
5	107679	110544	108587
6	107531	109245	108054
7	107360	108215	107725
8	107270	107877	107521
9	107217	107649	107374
10	107217	107461	107286
11	107217	107390	107240
12	107217	107306	107223
13	107217	107259	107218
14	107217	107217	107217
trial...6
gene	min	max	ave
1	111690	123053	116671
2	110297	117274	113623
3	109002	114447	111345
4	108170	112953	109695
5	107871	110314	108717
6	107648	108732	108154
7	107445	108293	107779
8	107265	108010	107538
9	107255	107707	107385
10	107222	107499	107296
11	107217	107333	107256
12	107217	107297	107240
13	107217	107255	107229
14	107217	107255	107224
15	107217	107255	107221
16	107217	107222	107220
17	107217	107222	107219
18	107217	107222	107218
19	107217	107222	107217
20	107217	107217	107217
trial...7
gene	min	max	ave
1	110965	122199	116266
2	109288	117243	113417
3	108421	114243	111298
4	108120	112777	109670
5	107828	111777	108676
6	107487	109212	108083
7	107379	108281	107713
8	107282	108046	107477
9	107219	107574	107333
10	107217	107391	107265
11	107217	107279	107239
12	107217	107259	107228
13	107217	107255	107220
14	107217	107250	107217
15	107217	107217	107217
trial...8
gene	min	max	ave
1	109827	121899	115839
2	109233	119619	113031
3	108540	114185	110761
4	108037	112071	109387
5	107628	110232	108516
6	107499	109184	108025
7	107368	108236	107681
8	107303	107919	107466
9	107222	107738	107337
10	107217	107399	107268
11	107217	107306	107237
12	107217	107265	107224
13	107217	107250	107218
14	107217	107250	107217
15	107217	107217	107217
trial...9
gene	min	max	ave
1	111016	122739	116076
2	109608	116893	113143
3	108465	113865	110957
4	108090	112090	109552
5	107786	110060	108585
6	107465	108954	108052
7	107299	108353	107706
8	107264	107906	107488
9	107222	107637	107348
10	107217	107445	107278
11	107217	107306	107247
12	107217	107292	107234
13	107217	107255	107224
14	107217	107250	107219
15	107217	107250	107217
16	107217	107217	107217
trial...10
gene	min	max	ave
1	112040	123389	116402
2	109580	117399	113323
3	108617	113710	111136
4	107914	112562	109554
5	107762	110777	108609
6	107509	108673	108045
7	107368	108213	107694
8	107259	107841	107461
9	107222	107573	107334
10	107222	107368	107266
11	107217	107314	107241
12	107217	107264	107230
13	107217	107255	107221
14	107217	107250	107219
15	107217	107222	107217
16	107217	107217	107217
opt count : 10
opt average : 107217
convergence generation : 15.6
