Instance : rat783.tsp
opt distance : 8806
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	9450	9787	9630.66
2	9288	9616	9486.27
3	9251	9488	9375.2
4	9179	9389	9282.55
5	9111	9277	9205.86
6	9062	9209	9139.17
7	9011	9153	9085.26
8	8981	9093	9038.24
9	8944	9074	8996.44
10	8907	9013	8960.84
11	8891	8968	8927.84
12	8867	8936	8900.31
13	8852	8914	8876.89
14	8835	8884	8857.77
15	8826	8864	8843.92
16	8816	8852	8833.35
17	8810	8839	8824.98
18	8808	8830	8818.6
19	8806	8822	8813.41
20	8806	8820	8810.02
21	8806	8817	8807.48
22	8806	8811	8806.3
23	8806	8807	8806
24	8806	8806	8806
trial...2
gene	min	max	ave
1	9479	9834	9625.4
2	9355	9639	9484.82
3	9247	9479	9370.86
4	9168	9392	9275.5
5	9112	9293	9199.85
6	9066	9212	9136.28
7	9005	9154	9080.84
8	8957	9088	9034.47
9	8911	9038	8992.9
10	8894	9000	8959.09
11	8885	8970	8929.24
12	8857	8946	8902.15
13	8838	8919	8878.62
14	8828	8894	8858.72
15	8819	8869	8843.35
16	8817	8847	8831.52
17	8814	8838	8823.28
18	8812	8832	8818.48
19	8811	8823	8815.31
20	8810	8818	8813.18
21	8810	8816	8812.04
22	8809	8813	8811.68
23	8809	8812	8811.39
24	8809	8812	8810.97
25	8809	8812	8810.43
26	8809	8811	8809.93
27	8809	8811	8809.43
28	8809	8811	8809.11
29	8809	8811	8809.02
30	8809	8809	8809
trial...3
gene	min	max	ave
1	9467	9795	9621.89
2	9330	9619	9476.13
3	9234	9468	9360.67
4	9172	9360	9268.19
5	9111	9267	9189.42
6	9052	9186	9125.17
7	9007	9161	9070.67
8	8953	9082	9024.25
9	8937	9040	8984.23
10	8906	8998	8950.51
11	8876	8957	8919.95
12	8853	8938	8893.45
13	8836	8909	8869.93
14	8825	8885	8851.22
15	8820	8866	8836.55
16	8815	8839	8825.99
17	8814	8827	8819.42
18	8809	8820	8815.8
19	8807	8818	8813.75
20	8806	8815	8812.49
21	8806	8814	8811.5
22	8806	8813	8810.22
23	8806	8813	8808.45
24	8806	8812	8806.82
25	8806	8812	8806.15
26	8806	8810	8806.02
27	8806	8806	8806
trial...4
gene	min	max	ave
1	9418	9782	9616.15
2	9333	9618	9476.99
3	9269	9497	9362.09
4	9171	9349	9267.67
5	9099	9271	9192.51
6	9039	9204	9129.98
7	9013	9145	9074.64
8	8965	9083	9025.52
9	8929	9030	8981.68
10	8888	8992	8943.85
11	8867	8962	8910.79
12	8850	8916	8882.88
13	8844	8888	8861.83
14	8827	8865	8846.2
15	8820	8853	8834.42
16	8815	8840	8825.78
17	8814	8829	8819.58
18	8811	8823	8815.53
19	8811	8818	8813.17
20	8811	8815	8811.94
21	8811	8813	8811.44
22	8810	8812	8811.16
23	8810	8812	8810.91
24	8810	8811	8810.72
25	8810	8811	8810.52
26	8810	8811	8810.25
27	8810	8811	8810.07
28	8810	8810	8810
trial...5
gene	min	max	ave
1	9439	9769	9607.21
2	9326	9611	9466.14
3	9244	9493	9354.4
4	9155	9351	9262.55
5	9104	9270	9186.91
6	9039	9218	9121.59
7	8980	9133	9065.86
8	8958	9081	9019.11
9	8918	9042	8978.78
10	8897	8991	8942.57
11	8875	8957	8911.18
12	8859	8920	8886.57
13	8839	8893	8866.02
14	8830	8870	8849.99
15	8828	8855	8838.43
16	8821	8843	8829.99
