Instance : rd400.tsp
opt distance : 15281
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	16051	16888	16448.4
2	15853	16415	16151.1
3	15615	16194	15935.1
4	15489	15950	15760
5	15423	15787	15633.1
6	15408	15686	15529.5
7	15350	15576	15448.6
8	15314	15469	15391.1
9	15303	15427	15353.5
10	15288	15365	15325.4
11	15284	15361	15305.1
12	15282	15312	15293
13	15282	15297	15287
14	15282	15291	15284.5
15	15282	15286	15283.2
16	15282	15284	15282.5
17	15282	15284	15282.1
18	15282	15284	15282
19	15282	15282	15282
trial...2
gene	min	max	ave
1	15882	16908	16434.7
2	15790	16469	16152.6
3	15677	16197	15948.9
4	15600	15989	15800.7
5	15513	15822	15674.2
6	15439	15737	15580.2
7	15398	15610	15503.1
8	15337	15540	15443.1
9	15317	15484	15399.2
10	15297	15445	15363.4
11	15286	15400	15333.8
12	15281	15362	15312.7
13	15281	15329	15297.5
14	15281	15311	15288.6
15	15281	15296	15283.8
16	15281	15289	15281.8
17	15281	15282	15281.2
18	15281	15282	15281
19	15281	15281	15281
trial...3
gene	min	max	ave
1	16001	16964	16464.5
2	15731	16527	16172.5
3	15680	16200	15954
4	15541	15985	15788.7
5	15486	15823	15658.2
6	15431	15705	15559
7	15360	15597	15480.8
8	15328	15499	15425.2
9	15302	15450	15378
10	15297	15402	15340.5
11	15289	15369	15314.7
12	15281	15330	15299.6
13	15281	15310	15291.4
14	15281	15302	15286.8
15	15281	15292	15284
16	15281	15290	15281.9
17	15281	15286	15281.1
18	15281	15281	15281
trial...4
gene	min	max	ave
1	16050	16919	16455.3
2	15867	16517	16166.1
3	15716	16186	15957.7
4	15602	15949	15798.9
5	15459	15862	15666.1
6	15434	15675	15562.8
7	15375	15598	15480.9
8	15334	15510	15418.4
9	15320	15463	15375.6
10	15299	15401	15344.4
11	15285	15367	15320.4
12	15284	15347	15302.1
13	15282	15325	15291.6
14	15281	15300	15287
15	15281	15291	15284.7
16	15281	15290	15283.6
17	15281	15286	15283
18	15281	15284	15282.3
19	15281	15284	15281.5
20	15281	15284	15281.1
21	15281	15282	15281
22	15281	15281	15281
trial...5
gene	min	max	ave
1	16136	17061	16471.2
2	15912	16453	16183
3	15748	16222	15975.4
4	15645	15980	15810.5
5	15463	15827	15683.1
6	15450	15716	15580.2
7	15394	15614	15496
8	15330	15547	15431.4
9	15312	15462	15384.1
10	15295	15400	15347.6
11	15286	15367	15323.1
12	15285	15340	15304.8
13	15282	15323	15292.1
14	15281	15299	15286.5
15	15281	15291	15284.6
16	15281	15291	15283.6
17	15281	15286	15283
18	15281	15284	15282.3
19	15281	15284	15281.7
20	15281	15284	15281.2
21	15281	15282	15281
22	15281	15282	15281
23	15281	15281	15281
trial...6
gene	min	max	ave
1	16074	16858	16462.2
2	15810	16459	16172.1
3	15721	16205	15960
4	15632	15987	15794.6
5	15493	15813	15670.6
6	15398	15723	15565.4
7	15356	15626	15483.6
8	15332	15531	15417.3
9	15304	15463	15367.5
10	15289	15385	15334.3
11	15285	15367	15311.1
12	15282	15334	15294.4
13	15281	15304	15285.5
14	15281	15288	15282.5
15	15281	15287	15281.7
16	15281	15282	15281.3
17	15281	15282	15281.1
18	15281	15282	15281
19	15281	15281	15281
trial...7
gene	min	max	ave
1	15957	16890	16463
2	15766	16473	16178.5
3	15636	16259	15966
4	15573	16029	15798.8
5	15488	15824	15663.8
6	15416	15724	15558.8
7	15376	15599	15479.6
8	15315	15512	15414.4
9	15306	15455	15364.7
10	15290	15395	15327.1
11	15285	15352	15303.7
12	15281	15312	15292.3
13	15281	15296	15288.4
14	15281	15291	15286.4
15	15281	15290	15284.4
16	15281	15290	15282.5
17	15281	15286	15281.4
18	15281	15281	15281
trial...8
gene	min	max	ave
1	16059	16846	16440.7
2	15894	16525	16153.7
3	15728	16139	15949.2
4	15622	15967	15799.3
5	15520	15812	15678.7
6	15428	15712	15570.4
7	15362	15596	15484.7
8	15327	15546	15419.2
9	15299	15445	15369.5
10	15295	15407	15335.5
11	15286	15349	15312
12	15282	15335	15296.4
13	15282	15311	15288.9
14	15282	15295	15285.2
15	15282	15288	15283.5
16	15282	15284	15282.9
17	15282	15284	15282.3
18	15282	15284	15282.1
19	15282	15282	15282
trial...9
gene	min	max	ave
1	16050	16863	16463.4
2	15883	16561	16173.1
3	15731	16227	15964.9
4	15617	16007	15801.8
5	15490	15847	15670.8
6	15434	15710	15569
7	15393	15591	15491
8	15356	15537	15433.5
9	15302	15465	15387.4
10	15295	15420	15351
11	15286	15385	15323.3
12	15284	15335	15303.1
13	15284	15308	15291.9
14	15284	15297	15287
15	15284	15292	15285.6
16	15284	15287	15285
17	15284	15286	15284.5
18	15284	15286	15284.1
19	15284	15284	15284
trial...10
gene	min	max	ave
1	16159	16763	16449.4
2	15939	16466	16170.9
3	15724	16195	15963
4	15590	15978	15796.3
5	15532	15828	15668.7
6	15421	15706	15562.8
7	15353	15586	15479.4
8	15330	15547	15417.1
9	15302	15439	15368.6
10	15292	15403	15337.5
11	15286	15352	15314.8
12	15282	15332	15299.7
13	15281	15318	15291.2
14	15281	15296	15286
15	15281	15291	15283.2
16	15281	15286	15281.6
17	15281	15285	15281.1
18	15281	15282	15281
19	15281	15281	15281
opt count : 7
opt average : 15281.5
convergence generation : 19.5
