Instance : tsp225.tsp
opt distance : 3916
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	4050	4314	4187.66
2	4003	4181	4104.81
3	3983	4135	4046.97
4	3950	4053	4005.84
5	3929	4025	3976.62
6	3922	3996	3954.74
7	3916	3973	3938.76
8	3916	3963	3926.01
9	3916	3942	3919.95
10	3916	3926	3917.14
11	3916	3920	3916.27
12	3916	3918	3916.04
13	3916	3918	3916.01
14	3916	3916	3916
trial...2
gene	min	max	ave
1	4021	4309	4186.16
2	4010	4205	4105.63
3	3976	4115	4045.95
4	3949	4057	4004.2
5	3928	4026	3971.64
6	3916	3989	3945.27
7	3916	3977	3928.07
8	3916	3938	3919.26
9	3916	3930	3916.73
10	3916	3919	3916.11
11	3916	3918	3916.01
12	3916	3916	3916
trial...3
gene	min	max	ave
1	4065	4315	4190.37
2	4026	4201	4107.88
3	3986	4119	4050.19
4	3947	4057	4005.88
5	3928	4020	3973
6	3918	3991	3948.28
7	3916	3973	3930.66
8	3916	3949	3920.24
9	3916	3932	3917.39
10	3916	3919	3916.3
11	3916	3918	3916.03
12	3916	3916	3916
trial...4
gene	min	max	ave
1	4030	4307	4185.43
2	3996	4197	4105.52
3	3963	4122	4048.22
4	3947	4064	4008.66
5	3933	4029	3977.19
6	3916	3988	3953.55
7	3916	3969	3934.65
8	3916	3959	3922.82
9	3916	3930	3917.38
10	3916	3919	3916.11
11	3916	3916	3916
trial...5
gene	min	max	ave
1	4074	4329	4190.56
2	4025	4197	4108.81
3	3988	4118	4054.41
4	3962	4056	4013.59
5	3933	4027	3983.03
6	3919	3996	3959.46
7	3916	3972	3942.22
8	3916	3963	3929.61
9	3916	3954	3920.95
10	3916	3923	3916.94
11	3916	3918	3916.05
12	3916	3916	3916
trial...6
gene	min	max	ave
1	4097	4317	4184
2	4037	4225	4105.69
3	3995	4118	4051.24
4	3963	4058	4009.72
5	3932	4021	3980.65
6	3922	3992	3958.3
7	3916	3972	3940.91
8	3916	3959	3927.8
9	3916	3952	3919.22
10	3916	3925	3916.74
11	3916	3918	3916.12
12	3916	3918	3916.01
13	3916	3916	3916
trial...7
gene	min	max	ave
1	4063	4321	4194.73
2	3964	4208	4110.27
3	3955	4132	4050.09
4	3929	4065	4005.86
5	3923	4022	3973.99
6	3918	3993	3948.78
7	3916	3973	3931.16
8	3916	3948	3920.3
9	3916	3926	3916.51
10	3916	3919	3916.09
11	3916	3916	3916
trial...8
gene	min	max	ave
1	4092	4354	4192.09
2	3961	4190	4110.35
3	3950	4133	4051.55
4	3931	4072	4007.13
5	3923	4025	3971.43
6	3919	3999	3946.78
7	3916	3975	3928.95
8	3916	3949	3920.6
9	3916	3923	3917.27
10	3916	3919	3916.42
11	3916	3919	3916.07
12	3916	3916	3916
trial...9
gene	min	max	ave
1	4071	4347	4189
2	4018	4203	4105.9
3	3989	4129	4050.88
4	3933	4064	4007.8
5	3926	4024	3976.23
6	3916	3996	3951.84
7	3916	3973	3933.36
8	3916	3953	3920.89
9	3916	3933	3916.72
10	3916	3920	3916.08
11	3916	3916	3916
trial...10
gene	min	max	ave
1	4073	4317	4187.76
2	4000	4220	4105.47
3	3975	4132	4047.82
4	3945	4061	4008.53
5	3929	4031	3978.84
6	3919	4002	3954.46
7	3916	3979	3936.03
8	3916	3957	3922.99
9	3916	3932	3917.31
10	3916	3923	3916.11
11	3916	3916	3916
opt count : 10
opt average : 3916
convergence generation : 11.9
