Instance : u724.tsp
opt distance : 41910
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	44711	46712	45598.9
2	44253	45554	44851.5
3	43764	44800	44291.3
4	43365	44301	43856.4
5	43032	43943	43480.2
6	42827	43495	43175.2
7	42685	43193	42917.9
8	42499	42954	42698.7
9	42333	42713	42530.4
10	42231	42578	42391.8
11	42117	42401	42273
12	42058	42293	42178.9
13	41983	42204	42100.4
14	41965	42163	42040.3
15	41948	42074	41994
16	41921	42028	41963.5
17	41917	41982	41942.4
18	41910	41960	41930.8
19	41910	41941	41924.4
20	41910	41931	41919.5
21	41910	41931	41914.7
22	41910	41931	41911.5
23	41910	41917	41910.2
24	41910	41910	41910
trial...2
gene	min	max	ave
1	44763	46611	45584.7
2	44183	45553	44841.9
3	43864	44958	44268.3
4	43221	44235	43812.6
5	43018	43902	43436
6	42793	43461	43127.3
7	42567	43175	42881.8
8	42364	42983	42675.3
9	42296	42852	42503.5
10	42151	42553	42364.5
11	42121	42412	42258.1
12	42035	42314	42168.4
13	41995	42196	42097.3
14	41964	42142	42044.4
15	41926	42082	42003.5
16	41911	42025	41972.2
17	41910	42010	41946.2
18	41910	41974	41927.2
19	41910	41960	41914.7
20	41910	41932	41910.9
21	41910	41917	41910
22	41910	41910	41910
trial...3
gene	min	max	ave
1	44716	46771	45595.7
2	43545	45638	44855.2
3	43407	44974	44279.7
4	43183	44302	43820.8
5	42961	43901	43448.2
6	42742	43604	43134.4
7	42554	43109	42859.1
8	42336	42907	42644
9	42217	42691	42469.8
10	42164	42605	42335
11	42078	42346	42222.1
12	42010	42278	42141.4
13	41981	42164	42077.8
14	41947	42131	42029.6
15	41927	42060	41992.6
16	41924	42016	41964.9
17	41924	41990	41945
18	41924	41974	41932.9
19	41924	41949	41927.3
20	41924	41937	41924.4
21	41924	41927	41924
22	41924	41924	41924
trial...4
gene	min	max	ave
1	44358	46549	45582.8
2	43869	45917	44845.5
3	43576	44924	44255.9
4	43323	44284	43802.7
5	42996	43787	43422.4
6	42768	43482	43122.9
7	42586	43224	42883.1
8	42398	42936	42687.8
9	42319	42741	42530.2
10	42170	42593	42393.5
11	42089	42461	42289.7
12	42078	42324	42212.2
13	42047	42271	42149.8
14	42011	42197	42101.7
15	41983	42139	42061.3
16	41966	42093	42029.6
17	41954	42062	41999.4
18	41947	42032	41976.2
19	41947	42002	41961.6
20	41947	41974	41952.8
21	41947	41967	41948.5
22	41947	41950	41947.2
23	41947	41949	41947
24	41947	41947	41947
trial...5
gene	min	max	ave
1	44609	46613	45579.1
2	43826	45561	44841.1
3	43597	45006	44269.2
4	43358	44284	43824.2
5	42971	43817	43445.5
6	42766	43554	43131.4
7	42564	43163	42873.8
8	42421	42926	42664.6
9	42288	42708	42504.9
10	42198	42554	42362.8
11	42090	42435	42248.3
12	42025	42286	42160.5
13	41980	42201	42095.3
14	41954	42107	42041.4
15	41939	42085	42001.8
16	41928	42038	41971.4
17	41923	41984	41949.5
18	41923	41966	41937.7
19	41923	41959	41931.4
20	41923	41937	41928.2
21	41923	41933	41926
22	41923	41930	41924.2
23	41923	41928	41923.2
24	41923	41923	41923
trial...6
gene	min	max	ave
1	44593	46783	45615.6
2	44168	45490	44889.3
3	43662	44820	44293
4	43377	44329	43824
5	42962	43925	43449.9
6	42770	43493	43133.4
7	42575	43167	42874.6
8	42359	42928	42671.9
9	42201	42733	42504.3
10	42167	42570	42365.8
11	42066	42414	42249.4
12	42041	42332	42159
13	41998	42213	42089.5
14	41964	42122	42036.7
15	41944	42061	41998.8
16	41913	42026	41968.9
17	41910	41989	41947.9
18	41910	41970	41931.1
19	41910	41954	41916.8
20	41910	41937	41911
21	41910	41912	41910
22	41910	41910	41910
trial...7
gene	min	max	ave
1	44480	46528	45621.2
2	44010	45581	44857.3
3	43688	44827	44263.9
4	43313	44229	43788.2
5	43028	43779	43418.9
6	42770	43456	43132.1
7	42577	43125	42892.6
8	42461	42911	42694.4
9	42345	42692	42533.7
10	42224	42585	42401.4
11	42130	42467	42289.3
12	42033	42325	42203
13	42016	42245	42130
14	41984	42150	42072.2
15	41957	42112	42029.5
16	41936	42051	41998.9
17	41933	42012	41977.1
18	41925	41994	41959.9
19	41918	41992	41944.1
20	41910	41968	41932.7
21	41910	41955	41925.6
22	41910	41930	41922.4
23	41910	41924	41920.8
24	41910	41924	41918.1
25	41910	41924	41914.6
