Instance : usa13509.tsp
opt distance : 19982859
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	2.1796e+07	2.23043e+07	2.19883e+07
2	2.16702e+07	2.19826e+07	2.18189e+07
3	2.15639e+07	2.18245e+07	2.16926e+07
4	2.15176e+07	2.16556e+07	2.15845e+07
5	2.1367e+07	2.15651e+07	2.14931e+07
6	2.13232e+07	2.15002e+07	2.1411e+07
7	2.1264e+07	2.14043e+07	2.13394e+07
8	2.12032e+07	2.13345e+07	2.12719e+07
9	2.11436e+07	2.12576e+07	2.12091e+07
10	2.10972e+07	2.11988e+07	2.11524e+07
11	2.10449e+07	2.11405e+07	2.10984e+07
12	2.09787e+07	2.11009e+07	2.10473e+07
13	2.09263e+07	2.10499e+07	2.1001e+07
14	2.0894e+07	2.10044e+07	2.09572e+07
15	2.08532e+07	2.09656e+07	2.0915e+07
16	2.08199e+07	2.09392e+07	2.08768e+07
17	2.07929e+07	2.08895e+07	2.08404e+07
18	2.07456e+07	2.08606e+07	2.08039e+07
19	2.0707e+07	2.08068e+07	2.07675e+07
20	2.06852e+07	2.07767e+07	2.07333e+07
21	2.06564e+07	2.07332e+07	2.07008e+07
22	2.0629e+07	2.07057e+07	2.06712e+07
23	2.06069e+07	2.06748e+07	2.06423e+07
24	2.05814e+07	2.06462e+07	2.06154e+07
25	2.05564e+07	2.0623e+07	2.05889e+07
26	2.05269e+07	2.05913e+07	2.05634e+07
27	2.05066e+07	2.05637e+07	2.05384e+07
28	2.04721e+07	2.05391e+07	2.0515e+07
29	2.04558e+07	2.05188e+07	2.04919e+07
30	2.04357e+07	2.04934e+07	2.04691e+07
31	2.04207e+07	2.04708e+07	2.04478e+07
32	2.03968e+07	2.04505e+07	2.04271e+07
33	2.03831e+07	2.04258e+07	2.04073e+07
34	2.03606e+07	2.0409e+07	2.03889e+07
35	2.03428e+07	2.03968e+07	2.03709e+07
36	2.03244e+07	2.03775e+07	2.03539e+07
37	2.03144e+07	2.03565e+07	2.03365e+07
38	2.02961e+07	2.0339e+07	2.032e+07
39	2.02775e+07	2.03322e+07	2.03037e+07
40	2.02603e+07	2.03076e+07	2.0288e+07
41	2.0251e+07	2.02905e+07	2.02736e+07
42	2.02398e+07	2.02754e+07	2.02598e+07
43	2.02257e+07	2.02634e+07	2.0247e+07
44	2.02178e+07	2.02505e+07	2.02345e+07
45	2.02062e+07	2.02373e+07	2.02229e+07
46	2.0198e+07	2.02303e+07	2.02119e+07
47	2.01885e+07	2.02192e+07	2.02012e+07
48	2.01793e+07	2.02033e+07	2.01912e+07
49	2.01695e+07	2.01917e+07	2.01816e+07
50	2.0158e+07	2.01825e+07	2.01723e+07
51	2.01506e+07	2.01752e+07	2.01636e+07
52	2.01437e+07	2.01663e+07	2.01553e+07
53	2.01349e+07	2.01563e+07	2.01472e+07
54	2.01216e+07	2.01497e+07	2.01392e+07
55	2.01183e+07	2.01401e+07	2.01317e+07
56	2.01115e+07	2.01326e+07	2.01247e+07
57	2.01063e+07	2.01257e+07	2.01181e+07
58	2.01014e+07	2.01204e+07	2.01119e+07
59	2.00957e+07	2.01137e+07	2.01057e+07
60	2.0091e+07	2.01097e+07	2.00996e+07
61	2.00869e+07	2.01009e+07	2.00938e+07
62	2.00796e+07	2.00961e+07	2.00881e+07
63	2.00734e+07	2.00916e+07	2.00827e+07
64	2.00692e+07	2.00841e+07	2.00778e+07
65	2.00667e+07	2.0079e+07	2.00729e+07
