Instance : bier127.tsp
opt distance : 118282
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	118962	130320	123882
2	118950	126503	121376
3	118694	122519	119950
4	118356	121732	119162
5	118282	119735	118753
6	118282	119000	118570
7	118282	118833	118443
8	118282	118609	118348
9	118282	118520	118293
10	118282	118282	118282
trial...2
gene	min	max	ave
1	119497	130748	123842
2	118514	126250	121233
3	118454	122568	119785
4	118282	120775	119023
5	118282	119551	118620
6	118282	119133	118433
7	118282	118708	118335
8	118282	118490	118289
9	118282	118282	118282
trial...3
gene	min	max	ave
1	120162	129810	124289
2	118762	125702	121776
3	118614	124216	120238
4	118467	121852	119320
5	118282	120103	118847
6	118282	119294	118595
7	118282	118769	118428
8	118282	118616	118322
9	118282	118476	118288
10	118282	118282	118282
trial...4
gene	min	max	ave
1	119534	128510	123943
2	119044	125756	121567
3	118608	122189	120118
4	118461	120938	119307
5	118313	119611	118850
6	118282	119295	118593
7	118282	118879	118450
8	118282	118617	118353
9	118282	118490	118299
10	118282	118476	118283
11	118282	118282	118282
trial...5
gene	min	max	ave
1	119727	131037	124156
2	118454	126321	121604
3	118454	123300	120139
4	118282	121224	119232
5	118282	119639	118718
6	118282	119279	118514
7	118282	118744	118387
8	118282	118621	118320
9	118282	118490	118288
10	118282	118423	118283
11	118282	118282	118282
trial...6
gene	min	max	ave
1	120165	131557	124298
2	118656	126447	121886
3	118395	122818	120447
4	118282	121152	119523
5	118282	120183	118965
6	118282	119787	118646
7	118282	118943	118451
8	118282	118630	118345
9	118282	118476	118300
10	118282	118476	118287
11	118282	118282	118282
trial...7
gene	min	max	ave
1	118933	129500	123946
2	118859	126039	121573
3	118587	122642	120178
4	118282	120809	119285
5	118282	119981	118847
6	118282	119219	118594
7	118282	118845	118422
8	118282	118678	118327
9	118282	118490	118288
10	118282	118461	118283
11	118282	118282	118282
trial...8
gene	min	max	ave
1	119819	129877	123830
2	118876	125670	121305
3	118565	123150	120014
4	118282	120838	119175
5	118282	119600	118729
6	118282	119178	118521
7	118282	118695	118394
8	118282	118609	118314
9	118282	118461	118285
10	118282	118282	118282
trial...9
gene	min	max	ave
1	119267	129656	124191
2	118873	126194	121571
3	118605	122724	120176
4	118313	121404	119262
5	118313	119614	118784
6	118282	119136	118540
7	118282	118738	118405
8	118282	118683	118321
9	118282	118476	118285
10	118282	118282	118282
trial...10
gene	min	max	ave
1	119882	131259	123951
2	118669	127385	121608
3	118533	122403	120149
4	118326	121092	119278
5	118282	119967	118816
6	118282	119272	118591
7	118282	118814	118453
8	118282	118657	118367
9	118282	118490	118310
10	118282	118356	118283
11	118282	118282	118282
opt count : 10
opt average : 118282
convergence generation : 10.4
