Instance : ch150.tsp
opt distance : 6528
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	6688	7231	6942.67
2	6583	6971	6774.39
3	6538	6845	6667.76
4	6528	6718	6602.08
5	6528	6666	6565.68
6	6528	6601	6547.48
7	6528	6575	6537.21
8	6528	6554	6531.64
9	6528	6549	6529.28
10	6528	6533	6528.02
11	6528	6528	6528
trial...2
gene	min	max	ave
1	6697	7226	6935.32
2	6569	7003	6781.79
3	6557	6829	6678.09
4	6528	6734	6611.36
5	6528	6653	6571.01
6	6528	6605	6549.55
7	6528	6575	6537.78
8	6528	6556	6530.93
9	6528	6550	6528.45
10	6528	6528	6528
trial...3
gene	min	max	ave
1	6603	7277	6926.49
2	6589	6976	6755.86
3	6540	6789	6654.02
4	6528	6716	6598.35
5	6528	6633	6566.18
6	6528	6582	6546.94
7	6528	6572	6536.27
8	6528	6556	6530.19
9	6528	6533	6528.05
10	6528	6528	6528
trial...4
gene	min	max	ave
1	6662	7351	6945.36
2	6600	7026	6772.7
3	6557	6784	6670.87
4	6528	6745	6609.48
5	6528	6671	6567.68
6	6528	6598	6548.34
7	6528	6562	6538.52
8	6528	6556	6532.13
9	6528	6549	6528.69
10	6528	6533	6528.02
11	6528	6528	6528
trial...5
gene	min	max	ave
1	6620	7409	6935.21
2	6582	7015	6775.09
3	6569	6867	6668.99
4	6535	6709	6606.71
5	6528	6645	6570.03
6	6528	6593	6551.31
7	6528	6577	6539.59
8	6528	6556	6532.24
9	6528	6549	6528.78
10	6528	6533	6528.02
11	6528	6528	6528
trial...6
gene	min	max	ave
1	6705	7224	6956.16
2	6582	7012	6792.28
3	6560	6854	6688.43
4	6542	6719	6625.41
5	6528	6670	6579.9
6	6528	6610	6553.47
7	6528	6579	6537.98
8	6528	6560	6530.85
9	6528	6549	6528.52
10	6528	6528	6528
trial...7
gene	min	max	ave
1	6650	7209	6947.2
2	6558	7038	6775.4
3	6532	6855	6671.52
4	6528	6712	6605.96
5	6528	6648	6567.92
6	6528	6606	6545.71
7	6528	6571	6534.22
8	6528	6554	6528.79
9	6528	6528	6528
trial...8
gene	min	max	ave
1	6648	7260	6920.23
2	6580	6998	6757.17
3	6533	6829	6655.18
4	6532	6697	6595.15
5	6528	6687	6562.23
6	6528	6580	6544.91
7	6528	6566	6535.77
8	6528	6550	6529.76
9	6528	6543	6528.12
10	6528	6528	6528
trial...9
gene	min	max	ave
1	6671	7417	6926.31
2	6605	6999	6761.43
3	6562	6809	6667.56
4	6532	6704	6611.1
5	6528	6666	6572.19
6	6528	6602	6550.16
7	6528	6575	6537.44
8	6528	6557	6531.2
9	6528	6533	6528.31
10	6528	6532	6528.02
11	6528	6528	6528
trial...10
gene	min	max	ave
1	6638	7278	6935.29
2	6561	6982	6764.98
3	6538	6819	6660.35
4	6528	6717	6598.24
5	6528	6641	6561.24
6	6528	6588	6544.51
7	6528	6557	6535.88
8	6528	6556	6530.22
9	6528	6543	6528.27
10	6528	6528	6528
opt count : 10
opt average : 6528
convergence generation : 10.3
