Instance : d657.tsp
opt distance : 48912
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	51654	54166	52871.6
2	51292	52997	52011
3	50344	52061	51349
4	50294	51276	50865.3
5	49961	50863	50465.4
6	49751	50559	50133.5
7	49533	50227	49868.5
8	49397	49968	49661.3
9	49182	49734	49494
10	49139	49574	49362.6
11	49086	49423	49253.2
12	49037	49302	49165.4
13	48978	49197	49095.7
14	48952	49165	49038.7
15	48920	49101	48991
16	48914	49037	48953.1
17	48913	48986	48930.3
18	48913	48943	48918.2
19	48913	48928	48913.9
20	48913	48916	48913
21	48913	48913	48913
trial...2
gene	min	max	ave
1	51814	54276	52938
2	51194	52993	52055.9
3	50668	52023	51384
4	50278	51549	50869.2
5	50037	50868	50445.1
6	49791	50461	50136.2
7	49517	50209	49877.9
8	49354	49987	49663.4
9	49233	49751	49495.7
10	49158	49609	49357.7
11	49117	49383	49240.3
12	49023	49300	49141.9
13	48977	49196	49070.5
14	48952	49113	49016.5
15	48921	49059	48975.5
16	48916	49022	48945.6
17	48913	48972	48924.6
18	48913	48940	48916.9
19	48913	48934	48915.6
20	48913	48916	48915
21	48913	48916	48914.3
22	48913	48916	48913.7
23	48913	48916	48913.2
24	48913	48914	48913
25	48913	48913	48913
trial...3
gene	min	max	ave
1	51912	54056	53004.3
2	51489	52919	52145.8
3	50869	52305	51476.2
4	50461	51463	50963.6
5	50083	50983	50553.9
6	49766	50580	50233.3
7	49700	50317	49977.7
8	49487	50060	49761.5
9	49317	49848	49585.7
10	49199	49678	49435.6
11	49112	49485	49309.9
12	49101	49381	49209.5
13	49037	49266	49136.7
14	48984	49173	49081.3
15	48960	49111	49035.6
16	48930	49057	48999.8
17	48926	49027	48970.2
18	48925	49000	48946.1
19	48925	48976	48931.3
20	48925	48939	48927.3
21	48925	48930	48926.2
22	48925	48928	48925.4
23	48925	48926	48925
24	48925	48925	48925
trial...4
gene	min	max	ave
1	51749	54178	52928.5
2	51081	53279	52040
3	50528	52237	51361.6
4	50271	51451	50856.3
5	49790	50863	50445.3
6	49636	50472	50128.3
7	49523	50218	49878.8
8	49317	49912	49655.1
9	49178	49750	49475.4
10	49137	49518	49330.2
11	49072	49398	49215.6
12	49014	49265	49123.7
13	48979	49188	49058.5
14	48967	49082	49019.2
15	48942	49042	48998.2
16	48942	49013	48987.1
17	48942	49002	48979.3
18	48927	48997	48970.8
19	48927	48983	48962.6
20	48927	48978	48953
21	48927	48978	48943.3
22	48927	48957	48935.6
23	48927	48957	48929.7
24	48927	48957	48927.2
25	48927	48927	48927
trial...5
gene	min	max	ave
1	51800	54316	52995.6
2	51303	53051	52085.6
3	50884	52284	51430.4
4	50394	51656	50899
5	49991	50984	50483.3
6	49809	50499	50155.9
7	49594	50223	49891.8
8	49387	49914	49694
9	49283	49726	49520.4
10	49221	49535	49383.3
11	49126	49439	49270.6
12	49041	49355	49179.3
13	48992	49199	49100.7
14	48954	49153	49042.5
15	48927	49090	48992.6
16	48916	49037	48953.3
17	48916	49012	48926.2
18	48916	48962	48917.2
19	48916	48917	48916.1
20	48916	48917	48916
21	48916	48916	48916
trial...6
gene	min	max	ave
1	51741	54207	52976.9
2	51296	52860	52084.6
3	50560	52063	51417.9
4	50322	51385	50899.9
5	49888	51035	50485.7
6	49761	50625	50159
7	49551	50204	49884.7
8	49431	49953	49670.1
9	49281	49786	49504.6
10	49126	49566	49365.4
11	49068	49398	49251.5
12	49008	49307	49166.5
13	48977	49195	49090.3
14	48941	49117	49027.6
15	48926	49080	48980
16	48919	49039	48946
17	48918	48989	48928.3
18	48918	48936	48921.2
19	48918	48924	48918.8
20	48918	48924	48918.2
21	48918	48918	48918
trial...7
gene	min	max	ave
1	51563	54384	52862
2	51171	53214	52011.5
3	50785	52031	51361.4
