Instance : eil101.tsp
opt distance : 629
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	646	690	666.525
2	636	669	653.545
3	631	656	645.275
4	630	650	639.46
5	629	642	634.645
6	629	639	631.58
7	629	635	629.995
8	629	631	629.465
9	629	630	629.145
10	629	630	629.035
11	629	629	629
trial...2
gene	min	max	ave
1	648	685	665.455
2	638	668	652.59
3	631	658	644.18
4	629	652	638.215
5	629	642	633.36
6	629	640	630.485
7	629	632	629.395
8	629	630	629.06
9	629	629	629
trial...3
gene	min	max	ave
1	649	688	665.18
2	640	669	652.48
3	633	657	644.37
4	629	651	638.175
5	629	642	633.32
6	629	638	630.6
7	629	636	629.425
8	629	631	629.115
9	629	630	629.015
10	629	629	629
trial...4
gene	min	max	ave
1	645	686	665.605
2	640	668	652.495
3	630	657	643.81
4	630	651	636.92
5	629	643	632.5
6	629	635	630.22
7	629	632	629.355
8	629	630	629.085
9	629	630	629.005
10	629	629	629
trial...5
gene	min	max	ave
1	645	684	664.795
2	635	666	652.605
3	633	654	643.995
4	629	647	637.765
5	629	643	633.34
6	629	638	630.58
7	629	633	629.585
8	629	630	629.205
9	629	630	629.035
10	629	629	629
trial...6
gene	min	max	ave
1	640	696	665.295
2	634	672	653.02
3	630	657	644.31
4	629	649	637.79
5	629	644	633.15
6	629	638	630.32
7	629	638	629.36
8	629	630	629.095
9	629	630	629.005
10	629	629	629
trial...7
gene	min	max	ave
1	643	684	665.02
2	639	666	652.59
3	631	657	644.38
4	629	648	637.955
5	629	643	633.255
6	629	638	630.46
7	629	631	629.455
8	629	631	629.145
9	629	630	629.03
10	629	629	629
trial...8
gene	min	max	ave
1	649	692	665.91
2	640	672	653.67
3	631	664	645.13
4	630	648	639.175
5	629	642	634.66
6	629	640	631.55
7	629	635	630.1
8	629	632	629.55
9	629	630	629.32
10	629	630	629.095
11	629	630	629.02
12	629	629	629
trial...9
gene	min	max	ave
1	637	690	665.43
2	635	667	653.055
3	630	656	643.925
4	629	648	637.46
5	629	643	632.95
6	629	639	630.475
7	629	635	629.455
8	629	630	629.15
9	629	630	629.025
10	629	629	629
trial...10
gene	min	max	ave
1	640	694	664.96
2	636	670	651.57
3	630	660	643.2
4	629	648	637.135
5	629	643	632.955
6	629	642	630.78
7	629	634	629.5
8	629	631	629.145
9	629	630	629.02
10	629	629	629
opt count : 10
opt average : 629
convergence generation : 10.2
