Instance : gil262.tsp
opt distance : 2378
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	2484	2648	2559.97
2	2455	2555	2504.57
3	2428	2508	2465.39
4	2389	2473	2436.62
5	2385	2444	2415.15
6	2378	2429	2400.04
7	2378	2410	2389.59
8	2378	2397	2382.46
9	2378	2391	2379.3
10	2378	2382	2378.34
11	2378	2379	2378.02
12	2378	2378	2378
trial...2
gene	min	max	ave
1	2472	2649	2563.92
2	2444	2568	2509.79
3	2421	2517	2472.15
4	2395	2494	2440.89
5	2389	2450	2416.83
6	2383	2425	2401.01
7	2378	2412	2389.46
8	2378	2407	2382.3
9	2378	2387	2379.18
10	2378	2385	2378.23
11	2378	2379	2378.01
12	2378	2378	2378
trial...3
gene	min	max	ave
1	2448	2678	2557.39
2	2430	2573	2503.32
3	2408	2515	2463.65
4	2396	2494	2432.95
5	2388	2450	2412.26
6	2383	2429	2397.68
7	2378	2404	2388.81
8	2378	2395	2383.88
9	2378	2388	2380.16
10	2378	2384	2378.47
11	2378	2382	2378.03
12	2378	2378	2378
trial...4
gene	min	max	ave
1	2484	2648	2565.51
2	2447	2578	2510.36
3	2424	2514	2471.05
4	2403	2476	2440.58
5	2389	2448	2417.54
6	2379	2425	2400.45
7	2378	2407	2388.97
8	2378	2395	2382.47
9	2378	2387	2379.28
10	2378	2384	2378.21
11	2378	2379	2378.01
12	2378	2378	2378
trial...5
gene	min	max	ave
1	2491	2634	2563.82
2	2461	2570	2509.06
3	2427	2534	2470.63
4	2400	2481	2441.74
5	2384	2450	2418.99
6	2380	2431	2402.47
7	2379	2413	2390.38
8	2378	2401	2383.74
9	2378	2390	2380.6
10	2378	2383	2379.3
11	2378	2381	2378.39
12	2378	2380	2378.05
13	2378	2378	2378
trial...6
gene	min	max	ave
1	2491	2633	2559.82
2	2452	2561	2507.08
3	2423	2506	2466.06
4	2406	2470	2436.61
5	2388	2445	2415.84
6	2379	2421	2400.29
7	2378	2404	2389.64
8	2378	2395	2383.2
9	2378	2388	2379.97
10	2378	2383	2378.56
11	2378	2379	2378.09
12	2378	2378	2378
trial...7
gene	min	max	ave
1	2470	2660	2561.99
2	2443	2586	2509.29
3	2401	2527	2470.72
4	2397	2478	2438.41
5	2388	2449	2416.32
6	2384	2425	2399.92
7	2379	2412	2389.51
8	2378	2392	2383.72
9	2378	2388	2380.34
10	2378	2383	2378.64
11	2378	2379	2378.09
12	2378	2379	2378.01
13	2378	2378	2378
trial...8
gene	min	max	ave
1	2482	2656	2568.39
2	2459	2561	2512.66
3	2427	2521	2470.91
4	2410	2482	2440.78
5	2393	2456	2418.81
6	2383	2431	2402.16
7	2378	2414	2390.62
8	2378	2398	2383.69
9	2378	2387	2380.32
10	2378	2384	2378.81
11	2378	2379	2378.23
12	2378	2379	2378.07
13	2378	2378	2378
trial...9
gene	min	max	ave
1	2481	2638	2562.08
2	2442	2561	2507.11
3	2412	2512	2466.97
4	2390	2474	2435.82
5	2383	2446	2413.41
6	2380	2424	2396.41
7	2378	2410	2386.21
8	2378	2395	2380.93
9	2378	2384	2378.71
10	2378	2381	2378.07
11	2378	2378	2378
trial...10
gene	min	max	ave
1	2428	2683	2560.8
2	2422	2571	2506.77
3	2396	2520	2465.97
4	2392	2478	2436.4
5	2388	2452	2416.18
6	2381	2426	2399.47
7	2379	2408	2389.32
8	2378	2395	2383.37
9	2378	2391	2380.49
10	2378	2382	2379.16
11	2378	2381	2378.71
12	2378	2379	2378.45
13	2378	2379	2378.2
14	2378	2379	2378.04
15	2378	2378	2378
opt count : 10
opt average : 2378
convergence generation : 12.5
