Instance : nrw1379.tsp
opt distance : 56638
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	60855	62410	61603.5
2	60312	61417	60906.8
3	59797	60805	60345.4
4	59309	60193	59882.7
5	58979	59893	59487.5
6	58797	59471	59155.7
7	58553	59151	58867.6
8	58262	58808	58608.7
9	58101	58634	58382.7
10	57928	58373	58181.6
11	57762	58192	57994.2
12	57592	58051	57829.7
13	57451	57902	57679.7
14	57328	57726	57550
15	57240	57582	57435.1
16	57189	57486	57332.9
17	57107	57415	57238.6
18	57027	57314	57159.3
19	56981	57175	57085.7
20	56924	57108	57021.5
21	56883	57054	56966.2
22	56823	56991	56916
23	56789	56945	56869.4
24	56734	56898	56824.6
25	56718	56868	56786.9
26	56701	56807	56753.7
27	56688	56781	56723.5
28	56679	56749	56699.9
29	56662	56712	56683
30	56655	56691	56672
31	56653	56681	56663.1
32	56653	56675	56656.5
33	56653	56673	56653.7
34	56653	56657	56653
35	56653	56653	56653
trial...2
gene	min	max	ave
1	60750	62438	61580.1
2	60385	61621	60878.4
3	59877	61006	60326.5
4	59480	60181	59880
5	59159	59893	59508.3
6	58787	59441	59169
7	58555	59231	58882.2
8	58311	58897	58619.7
9	58055	58625	58379.9
10	57893	58382	58178.9
11	57698	58185	58000.5
12	57584	58016	57834.3
13	57510	57861	57689.5
14	57387	57721	57555.2
15	57198	57568	57429.2
16	57161	57467	57319.3
17	57058	57323	57218.4
18	57017	57263	57127.8
19	56941	57170	57053.1
20	56870	57078	56985.3
21	56836	57008	56927.2
22	56803	56949	56874.4
23	56782	56886	56829.5
24	56744	56859	56792.3
25	56734	56803	56765.3
26	56724	56785	56745.8
27	56711	56753	56730.5
28	56695	56737	56716.8
29	56678	56723	56703.4
30	56677	56710	56691.3
31	56671	56702	56682.1
32	56670	56692	56675.6
33	56669	56681	56673
34	56669	56675	56671.5
35	56669	56674	56670.5
36	56669	56673	56669.9
37	56669	56670	56669.6
38	56669	56670	56669.4
39	56669	56670	56669.1
40	56669	56670	56669
41	56669	56669	56669
trial...3
gene	min	max	ave
1	60891	62369	61578.4
2	60402	61371	60883.4
3	59884	60700	60314.3
4	59231	60211	59857.1
5	59044	59812	59473.9
6	58779	59502	59145.8
7	58509	59145	58852.6
8	58337	58874	58593.4
9	58038	58637	58357.7
10	57921	58356	58147.5
11	57654	58164	57958.2
12	57563	58010	57794.8
13	57450	57863	57647.5
14	57350	57701	57514.7
15	57221	57546	57393.9
16	57126	57431	57288.2
17	57001	57322	57190.9
18	56967	57223	57102.5
19	56894	57137	57020.1
20	56850	57058	56948.2
21	56767	56990	56883.9
22	56737	56918	56828.4
23	56730	56855	56780.2
24	56705	56803	56743.4
25	56684	56749	56715.9
26	56666	56722	56695.1
27	56660	56696	56679.5
28	56654	56684	56667.1
29	56650	56676	56658.8
30	56650	56666	56653.4
31	56650	56660	56650.9
32	56650	56660	56650.1
33	56650	56650	56650
trial...4
gene	min	max	ave
1	60979	62470	61624.5
2	60349	61608	60909.6
3	59884	60902	60359.7
4	59472	60281	59910
5	58939	59865	59510.6
6	58639	59459	59173.8
7	58585	59238	58874.6
8	58318	58907	58623.5
9	58126	58627	58395.7
10	57848	58416	58189.5
11	57709	58193	57997.7
12	57592	58050	57829.5
13	57447	57894	57674.8
14	57396	57700	57538.5
15	57265	57584	57415.3
16	57156	57467	57308.5
17	57031	57319	57211.5
18	56988	57250	57124
19	56954	57151	57051.1
20	56865	57062	56982.9
21	56839	57021	56925.1
22	56799	56950	56875.7
23	56763	56922	56835.5
24	56727	56864	56800.4
25	56715	56822	56769.6
26	56699	56798	56743.6
27	56683	56767	56720
28	56671	56743	56698.4
29	56658	56723	56681.3
30	56656	56703	56668.4
31	56654	56684	56660.6
32	56650	56665	56656.5
33	56650	56663	56653.7
34	56650	56661	56651.9
35	56650	56654	56650.8
36	56650	56654	56650.2
37	56650	56650	56650
trial...5
gene	min	max	ave
1	60842	62543	61595.3
2	60167	61748	60890.2
3	59824	60803	60356
4	59438	60350	59902.3
5	59184	59905	59503
6	58766	59541	59167
7	58516	59156	58878.4
8	58291	58907	58625.2
9	57998	58627	58398.3
10	57874	58419	58184.4
11	57727	58218	57994.8
12	57613	58069	57826
13	57458	57887	57674
14	57352	57692	57536.2
15	57208	57556	57410
16	57143	57428	57293.2
17	57040	57328	57185.4
18	56953	57258	57097
19	56883	57127	57018.3
20	56855	57039	56949.2
21	56808	56976	56891.6
22	56777	56924	56840.8
23	56749	56856	56799.2
24	56720	56810	56765.8
25	56683	56778	56737.7
26	56665	56759	56711.7
27	56655	56725	56688.9
28	56653	56707	56670.5
29	56652	56681	56659
30	56652	56663	56653.4
31	56652	56659	56652.1
32	56652	56652	56652
trial...6
gene	min	max	ave
1	60877	62484	61631.6
2	60219	61603	60908.9
3	59888	60887	60341
4	59494	60359	59867.5
5	59126	59799	59478.1
6	58802	59450	59146.4
7	58536	59114	58842.6
8	58257	58829	58579.6
