Instance : pr136.tsp
opt distance : 96772
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	98458	107623	102274
2	97800	103466	100072
3	96920	100812	98637.4
4	96794	99332	97771.9
5	96772	98588	97219.6
6	96772	98094	96941.4
7	96772	97138	96819.4
8	96772	96920	96782.6
9	96772	96790	96776.2
10	96772	96781	96773.3
11	96772	96781	96772.1
12	96772	96772	96772
trial...2
gene	min	max	ave
1	97963	107259	102050
2	97455	104000	99791.3
3	97117	100764	98387.8
4	96781	99665	97565.5
5	96772	98614	97157.3
6	96772	97441	96939.7
7	96772	97120	96817.9
8	96772	96870	96779.1
9	96772	96790	96773.5
10	96772	96781	96772.1
11	96772	96772	96772
trial...3
gene	min	max	ave
1	97756	106081	101944
2	97357	103107	99886.5
3	97009	102031	98506.4
4	96798	98922	97638.7
5	96781	98048	97180.1
6	96772	97382	96946.6
7	96772	97198	96816.9
8	96772	96994	96780.7
9	96772	96867	96774
10	96772	96785	96772.2
11	96772	96772	96772
trial...4
gene	min	max	ave
1	97276	106091	101954
2	97276	103615	99866.5
3	97133	100678	98556.3
4	96915	99912	97756.1
5	96781	98571	97240.5
6	96772	97396	96987.4
7	96772	97166	96841.7
8	96772	96994	96781.1
9	96772	96781	96772.2
10	96772	96772	96772
trial...5
gene	min	max	ave
1	98667	105484	102042
2	97390	104286	99892.6
3	97019	101236	98479.6
4	96781	99135	97620.9
5	96772	98077	97140.8
6	96772	97453	96903.6
7	96772	97105	96808
8	96772	96874	96777.9
9	96772	96785	96773.1
10	96772	96781	96772.2
11	96772	96772	96772
trial...6
gene	min	max	ave
1	97900	105914	102131
2	97556	102830	99977.1
3	97188	101582	98647.4
4	96867	99803	97753.5
5	96781	98642	97230.9
6	96772	97554	96957.2
7	96772	97152	96829
8	96772	96883	96784.2
9	96772	96794	96776
10	96772	96781	96773
11	96772	96772	96772
trial...7
gene	min	max	ave
1	97913	105677	102045
2	97750	102692	99969.3
3	97031	100790	98595.1
4	96879	99517	97688.2
5	96794	98396	97233
6	96772	97611	96988.5
7	96772	97329	96845.1
8	96772	96998	96793.5
9	96772	96870	96775.6
10	96772	96781	96772.4
11	96772	96772	96772
trial...8
gene	min	max	ave
1	98323	109141	102059
2	96923	103543	99826.4
3	96883	100958	98445.4
4	96772	99606	97585.7
5	96772	98231	97125.2
6	96772	97394	96903.1
7	96772	97120	96803.1
8	96772	96920	96779
9	96772	96794	96774
10	96772	96781	96772.3
11	96772	96772	96772
trial...9
gene	min	max	ave
1	98092	107466	101952
2	97499	102880	100032
3	97177	100844	98632
4	96785	99480	97762.2
5	96772	98473	97251.2
6	96772	97536	96994.7
7	96772	97222	96836.4
8	96772	96985	96782.3
9	96772	96861	96772.8
10	96772	96772	96772
trial...10
gene	min	max	ave
1	99137	106600	102361
2	97083	104421	100106
3	97083	101312	98604.4
4	96798	99582	97718.9
5	96781	98593	97224
6	96772	97729	96971
7	96772	97128	96818.2
8	96772	96874	96781.3
9	96772	96861	96773
10	96772	96772	96772
opt count : 10
opt average : 96772
convergence generation : 10.8
