Instance : rat195.tsp
opt distance : 2323
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	2413	2601	2500.93
2	2385	2499	2439.8
3	2354	2447	2398.51
4	2339	2408	2370.91
5	2331	2386	2353.24
6	2324	2365	2342.48
7	2323	2352	2335.22
8	2323	2344	2330.05
9	2323	2336	2326.66
10	2323	2333	2324.41
11	2323	2329	2323.28
12	2323	2324	2323.03
13	2323	2323	2323
trial...2
gene	min	max	ave
1	2419	2577	2500.4
2	2367	2497	2438.9
3	2355	2453	2397.14
4	2335	2413	2368.53
5	2331	2379	2352.01
6	2323	2363	2340.59
7	2323	2352	2334.48
8	2323	2338	2331.03
9	2323	2334	2329.2
10	2323	2332	2328.05
11	2323	2330	2327.18
12	2323	2329	2326.36
13	2323	2328	2325.2
14	2323	2328	2323.97
15	2323	2328	2323.18
16	2323	2323	2323
trial...3
gene	min	max	ave
1	2421	2589	2504.68
2	2376	2519	2443.97
3	2341	2451	2400.36
4	2334	2413	2370.75
5	2329	2388	2352.66
6	2323	2364	2340.24
7	2323	2347	2333.01
8	2323	2342	2327.96
9	2323	2334	2324.87
10	2323	2331	2323.36
11	2323	2323	2323
trial...4
gene	min	max	ave
1	2428	2577	2496.45
2	2387	2517	2438.66
3	2334	2465	2397.38
4	2333	2407	2369.07
5	2325	2376	2349.97
6	2324	2361	2339.59
7	2323	2348	2334.51
8	2323	2342	2331.09
9	2323	2335	2328.55
10	2323	2331	2327.03
11	2323	2329	2325.58
12	2323	2329	2324.32
13	2323	2329	2323.3
14	2323	2323	2323
trial...5
gene	min	max	ave
1	2416	2590	2503
2	2376	2497	2442.7
3	2332	2453	2401.2
4	2332	2413	2374.01
5	2323	2383	2355.01
6	2323	2371	2344.12
7	2323	2357	2336.74
8	2323	2347	2331.89
9	2323	2340	2328.89
10	2323	2334	2326.95
11	2323	2330	2325.26
12	2323	2329	2323.85
13	2323	2329	2323.25
14	2323	2323	2323
trial...6
gene	min	max	ave
1	2411	2619	2497.09
2	2380	2508	2435.87
3	2356	2439	2395.56
4	2342	2398	2367.99
5	2331	2383	2352.2
6	2325	2365	2342.15
7	2325	2350	2335.41
8	2323	2343	2331.35
9	2323	2336	2328.99
10	2323	2332	2327.63
11	2323	2330	2326.64
12	2323	2328	2325.68
13	2323	2328	2324.47
14	2323	2328	2323.38
15	2323	2328	2323.03
16	2323	2323	2323
trial...7
gene	min	max	ave
1	2414	2596	2501.89
2	2370	2499	2438.07
3	2351	2443	2397.11
4	2336	2404	2368.57
5	2329	2381	2351.7
6	2329	2365	2342.02
7	2323	2353	2335.78
8	2323	2344	2331.92
9	2323	2336	2329.3
10	2323	2331	2327.91
11	2323	2330	2326.7
12	2323	2329	2325.32
13	2323	2329	2323.99
14	2323	2328	2323.15
15	2323	2323	2323
trial...8
gene	min	max	ave
1	2441	2584	2502.41
2	2378	2514	2443.7
3	2354	2470	2402.88
4	2340	2425	2374.05
5	2332	2387	2356.39
6	2326	2368	2343.46
7	2326	2358	2336.09
8	2323	2342	2331.58
9	2323	2337	2328.86
10	2323	2333	2326.52
11	2323	2331	2324.27
12	2323	2329	2323.25
13	2323	2323	2323
trial...9
gene	min	max	ave
1	2413	2594	2499.71
2	2385	2505	2436.78
3	2349	2456	2393.73
4	2333	2409	2366.84
5	2331	2374	2350.78
6	2329	2360	2341.01
7	2328	2351	2334.34
8	2323	2345	2330.77
9	2323	2334	2329.07
10	2323	2329	2328.59
11	2323	2329	2328.23
12	2323	2329	2327.73
13	2323	2329	2327.04
14	2323	2328	2326.03
15	2323	2328	2324.88
16	2323	2328	2323.7
17	2323	2328	2323.15
18	2323	2323	2323
trial...10
gene	min	max	ave
1	2381	2583	2501.78
2	2354	2501	2441.02
3	2341	2456	2396.91
4	2328	2418	2367.11
5	2325	2381	2349.14
6	2323	2361	2338.59
7	2323	2349	2331.62
8	2323	2338	2327.82
9	2323	2333	2325.64
10	2323	2329	2324.13
11	2323	2328	2323.18
12	2323	2323	2323
opt count : 10
opt average : 2323
convergence generation : 14.2
