Instance : rl5915.tsp
opt distance : 565530
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	613304	648565	627154
2	607981	624873	617736
3	603893	617712	610164
4	597354	610583	603944
5	588990	602900	598429
6	588112	597676	593634
7	584716	592909	589652
8	581280	589158	586099
9	579671	585506	582954
10	578016	582956	580274
11	575340	580148	577882
12	573395	577815	575883
13	572035	576233	574138
14	571134	574512	572678
15	570124	572513	571404
16	569243	571466	570308
17	568307	570668	569392
18	567927	569713	568605
19	567343	568735	568013
20	567001	568037	567507
21	566653	567464	567101
22	566426	567197	566769
23	566122	566790	566498
24	566054	566530	566275
25	565917	566274	566104
26	565808	566111	565968
27	565731	565998	565859
28	565694	565869	565771
29	565643	565772	565705
30	565626	565727	565662
31	565605	565677	565635
32	565597	565640	565616
33	565597	565623	565603
34	565597	565610	565598
35	565597	565605	565597
36	565597	565597	565597
trial...2
gene	min	max	ave
1	617129	640441	627505
2	610027	628206	617982
3	601989	622041	610441
4	597150	609799	604244
5	594314	604012	598969
6	589822	599335	594407
7	586345	594078	590421
8	583142	589676	586864
9	581138	587115	583805
10	577957	584392	581119
11	576610	581140	578763
12	574704	579080	576739
13	573233	576564	574938
14	571369	575054	573402
15	570844	573685	572068
16	569909	572130	571002
17	569012	571003	570073
18	568535	570226	569309
19	568034	569218	568651
20	567585	568731	568122
21	567196	568140	567686
22	566840	567732	567303
23	566581	567398	566979
24	566434	567032	566693
25	566247	566841	566455
26	566093	566493	566262
27	565940	566269	566105
28	565856	566109	565982
29	565766	565981	565879
30	565716	565912	565798
31	565663	565810	565732
32	565644	565753	565686
33	565629	565705	565658
34	565615	565674	565639
35	565614	565653	565625
36	565614	565631	565617
37	565614	565625	565614
38	565614	565614	565614
trial...3
gene	min	max	ave
1	613001	643625	626828
2	607142	627332	617617
3	603850	617200	610063
4	598000	610060	603803
5	593291	604310	598738
6	590036	598847	593950
7	586688	594618	589928
8	583559	589606	586483
9	580285	586406	583408
10	578287	583160	580693
11	576088	580586	578360
12	573764	578503	576396
13	572562	576361	574704
14	571782	575012	573253
15	570443	573532	571988
16	569913	572053	570915
17	569291	571017	570030
18	568657	570002	569261
19	567817	569341	568637
20	567557	568631	568108
21	567211	568146	567660
22	566883	567601	567267
23	566655	567285	566951
24	566412	566935	566676
25	566190	566752	566438
26	566061	566492	566243
27	565895	566224	566079
28	565830	566077	565951
29	565767	565947	565852
30	565718	565846	565780
31	565683	565798	565734
32	565672	565741	565706
33	565650	565717	565688
34	565641	565705	565673
35	565639	565694	565664
36	565637	565690	565658
37	565637	565663	565653
38	565637	565661	565648
39	565637	565659	565642
40	565637	565659	565638
41	565637	565637	565637
trial...4
gene	min	max	ave
1	616462	641014	627241
2	607099	627514	617697
3	601541	617473	609949
4	596765	609543	603681
5	593442	604210	598524
6	589973	599256	593890
7	586762	593770	589994
8	583579	589626	586449
9	580960	586126	583447
10	578006	582734	580963
11	576520	581197	578696
12	574354	578628	576798
13	573587	576764	575114
14	571803	575455	573610
15	570997	573667	572326
16	569945	572363	571210
17	569339	571232	570312
18	568680	570539	569573
19	568227	569538	568934
20	567787	568997	568401
21	567305	568546	567941
22	567105	568051	567522
23	566832	567587	567157
24	566572	567307	566845
25	566268	566814	566597
26	566199	566706	566404
27	566090	566441	566249
28	565988	566289	566127
29	565917	566147	566025
30	565860	566030	565948
31	565820	565963	565895
32	565776	565911	565850
33	565761	565862	565811
34	565744	565842	565777
35	565744	565818	565758
36	565744	565769	565749
37	565744	565754	565745
38	565744	565750	565744
39	565744	565748	565744
40	565744	565744	565744
trial...5
gene	min	max	ave
1	613662	642826	627365
2	610091	628149	618094
3	603462	617464	610675
4	600043	610420	604715
5	593462	604218	599471
6	591086	599313	594922
7	585792	594671	590946
8	583582	590861	587447
9	581348	586916	584379
10	578494	584478	581643
11	576607	581601	579228
12	573585	579195	577083
13	572458	577230	575373
14	571567	575746	573808
15	570718	573667	572497
16	569904	572689	571355
17	569222	571313	570375
18	568527	570301	569526
19	567971	569590	568834
20	567302	568877	568232
21	567138	568391	567739
22	566777	567955	567309
23	566610	567381	566954
24	566373	567084	566652
25	566150	566657	566412
26	566022	566413	566234
27	565902	566259	566089
28	565812	566081	565973
29	565758	566005	565883
30	565713	565902	565807
31	565681	565839	565752
32	565659	565779	565710
33	565645	565744	565680
34	565634	565699	565660
35	565634	565673	565648
36	565634	565671	565642
37	565634	565649	565637
38	565634	565649	565635
39	565634	565634	565634
trial...6
gene	min	max	ave
1	617337	643208	626725
2	609129	629621	617488
3	603552	617666	609982
4	598432	610565	603913
5	594655	604040	598849
6	588495	597552	594358
7	585508	593937	590369
8	582136	589732	586812
9	580069	586344	583768
10	577397	583408	581013
11	576009	580724	578645
12	574064	579381	576566
13	572355	577161	574788
14	571110	575209	573165
