Instance : ts225.tsp
opt distance : 126643
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	127210	138841	132072
2	126925	135896	129195
3	126643	131814	127632
4	126643	130638	127073
5	126643	127398	126851
6	126643	127052	126741
7	126643	126977	126678
8	126643	126726	126651
9	126643	126726	126645
10	126643	126726	126643
11	126643	126643	126643
trial...2
gene	min	max	ave
1	127326	139801	132819
2	126950	134654	129683
3	126726	132536	127773
4	126643	128048	127135
5	126643	127455	126892
6	126643	127101	126758
7	126643	126880	126686
8	126643	126810	126651
9	126643	126643	126643
trial...3
gene	min	max	ave
1	127017	142057	132627
2	126893	136402	129708
3	126713	133516	128037
4	126643	129802	127167
5	126643	127455	126922
6	126643	127122	126787
7	126643	126925	126708
8	126643	126841	126666
9	126643	126726	126647
10	126643	126643	126643
trial...4
gene	min	max	ave
1	127288	140969	132480
2	126809	136826	129585
3	126713	132541	127769
4	126643	128732	127116
5	126643	127882	126872
6	126643	127047	126746
7	126643	126893	126680
8	126643	126809	126650
9	126643	126726	126644
10	126643	126643	126643
trial...5
gene	min	max	ave
1	127428	140267	133111
2	126937	135178	130056
3	126713	133010	127865
4	126643	128814	127177
5	126643	127627	126917
6	126643	127174	126776
7	126643	127052	126686
8	126643	126810	126652
9	126643	126643	126643
trial...6
gene	min	max	ave
1	127117	140370	132524
2	126809	135152	129504
3	126726	132948	127846
4	126643	130292	127170
5	126643	127526	126911
6	126643	127161	126788
7	126643	126977	126715
8	126643	126810	126666
9	126643	126726	126646
10	126643	126643	126643
trial...7
gene	min	max	ave
1	127241	140106	132668
2	127033	135860	129802
3	126726	133136	127965
4	126643	128579	127182
5	126643	127512	126946
6	126643	127354	126799
7	126643	126950	126708
8	126643	126828	126658
9	126643	126758	126644
10	126643	126643	126643
trial...8
gene	min	max	ave
1	127396	139407	132998
2	126911	136834	129853
3	126713	132456	127878
4	126643	129836	127100
5	126643	127579	126861
6	126643	127017	126756
7	126643	126977	126698
8	126643	126726	126661
9	126643	126726	126645
10	126643	126643	126643
trial...9
gene	min	max	ave
1	127404	139394	132779
2	127045	136150	129852
3	126643	133032	128016
4	126643	129143	127164
5	126643	127872	126895
6	126643	127161	126760
7	126643	126937	126691
8	126643	126809	126658
9	126643	126726	126645
10	126643	126643	126643
trial...10
gene	min	max	ave
1	127020	139572	132632
2	126911	135660	129640
3	126643	133189	127861
4	126643	129015	127098
5	126643	127536	126872
6	126643	127052	126760
7	126643	126943	126692
8	126643	126810	126656
9	126643	126726	126643
10	126643	126643	126643
opt count : 10
opt average : 126643
convergence generation : 9.9
