Instance : u1817.tsp
opt distance : 57201
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	62885	65601	64351.2
2	62254	64041	63112.8
3	61364	63047	62099.3
4	60562	62135	61271.7
5	59785	61207	60579
6	59342	60523	59982.2
7	58777	60020	59446.4
8	58508	59461	58993.6
9	58204	59056	58612.9
10	58017	58656	58307.8
11	57845	58373	58078
12	57635	58117	57890.6
13	57568	57950	57746.2
14	57458	57763	57627.5
15	57404	57666	57544
16	57384	57596	57477.5
17	57345	57516	57427.6
18	57317	57464	57385.8
19	57264	57417	57352.8
20	57260	57376	57320.2
21	57250	57348	57291.7
22	57250	57323	57268.7
23	57248	57278	57255.4
24	57248	57274	57250.3
25	57248	57255	57248.4
26	57248	57252	57248
27	57248	57248	57248
trial...2
gene	min	max	ave
1	62978	65642	64393.2
2	62168	64077	63107.5
3	61118	62912	62084.3
4	60428	62077	61271.4
5	60042	61221	60582.5
6	59293	60490	59991
7	58883	60225	59491.7
8	58597	59590	59044.8
9	58301	59122	58664.2
10	57965	58680	58348.9
11	57770	58460	58106.6
12	57656	58180	57919.8
13	57518	57979	57774
14	57458	57839	57653.3
15	57401	57685	57564.4
16	57336	57585	57491
17	57302	57523	57427.8
18	57265	57472	57369.6
19	57251	57415	57319.4
20	57243	57348	57280.5
21	57239	57325	57257.5
22	57233	57268	57245.4
23	57229	57248	57239.2
24	57229	57244	57235
25	57229	57239	57232.8
26	57229	57235	57232
27	57229	57233	57231.2
28	57229	57233	57230.3
29	57229	57233	57229.5
30	57229	57233	57229.1
31	57229	57229	57229
trial...3
gene	min	max	ave
1	63132	65578	64316.2
2	61982	64085	63075.5
3	60920	62873	62076.4
4	60434	61871	61253.1
5	59510	61232	60521.2
6	59140	60540	59921.1
7	58494	59948	59384.4
8	58288	59405	58919.5
9	57987	58966	58529
10	57803	58581	58215.9
11	57713	58230	57971.3
12	57562	58026	57802.6
13	57540	57837	57673.4
14	57471	57701	57583.3
15	57438	57595	57516.2
16	57386	57556	57462.8
17	57359	57476	57421.9
18	57336	57435	57390.9
19	57319	57406	57365.6
20	57295	57383	57344.9
21	57280	57358	57325.7
22	57255	57345	57307.2
23	57254	57321	57292.4
24	57238	57308	57280.7
25	57236	57303	57268.7
26	57235	57289	57257.4
27	57235	57278	57249.9
28	57235	57259	57243.8
29	57235	57253	57239.4
30	57235	57252	57236.4
31	57235	57235	57235
trial...4
gene	min	max	ave
1	62992	65971	64394
2	62284	64206	63156.7
3	61302	63239	62136.8
4	60572	62021	61286.6
5	59541	61291	60557.9
6	59073	60645	59945.5
7	58731	59857	59405.7
8	58413	59414	58932.2
9	58147	59033	58581.1
10	57903	58665	58273.7
11	57741	58345	58041.4
12	57556	58084	57853.8
13	57463	57922	57699.2
14	57413	57772	57576.7
15	57387	57646	57481.3
16	57334	57546	57411.5
17	57302	57424	57363
18	57291	57386	57330.8
19	57279	57346	57307.6
20	57271	57326	57291.6
21	57271	57306	57281
22	57271	57287	57274.9
23	57271	57279	57272.3
24	57271	57275	57271.3
25	57271	57271	57271
trial...5
gene	min	max	ave
1	62457	65487	64292.4
2	61965	63993	63021.6
3	61142	62955	62019.7
4	60452	62086	61166
5	59728	61240	60473.4
6	59186	60683	59863.7
7	58729	59901	59343.6
8	58320	59421	58918.4
9	57970	59069	58565.2
10	57923	58600	58291.2
11	57743	58308	58063.8
12	57628	58103	57886.2
13	57553	57939	57752.5
14	57430	57823	57647.1
15	57367	57703	57558.1
16	57330	57650	57480.2
17	57274	57526	57405.9
18	57247	57470	57345.4
19	57230	57401	57294.7
20	57228	57330	57259.6
21	57223	57294	57239.9
22	57222	57275	57229.8
23	57222	57238	57224.4
24	57222	57231	57222.3
25	57222	57222	57222
trial...6
gene	min	max	ave
1	62896	65573	64302.1
2	62088	63943	63090
3	61262	62962	62073.6
4	60492	61982	61254.1
5	59780	61142	60531.4
6	59185	60771	59927.1
7	58760	60081	59391
8	58403	59405	58959.6
9	58119	58995	58590.2
10	57857	58658	58295.6
11	57752	58490	58048.4
12	57607	58104	57855.5
13	57496	57925	57704.6
14	57414	57752	57584.7
15	57369	57676	57492.3
16	57338	57530	57420.2
17	57310	57471	57368.7
18	57289	57418	57331.1
19	57273	57355	57303.8
20	57269	57323	57284.3
21	57269	57304	57274.7
22	57269	57280	57270.8
23	57269	57276	57269.4
24	57269	57271	57269
25	57269	57269	57269
trial...7
gene	min	max	ave
1	63029	65765	64249.4
2	61991	64064	62992.2
3	61167	62617	61967.9
4	60287	61819	61125.5
5	59715	60947	60413.4
6	59225	60543	59828.8
7	58793	59850	59314.8
8	58364	59416	58892.8
9	58116	58916	58530.3
10	57947	58624	58233.2
11	57703	58298	57999.8
12	57560	58133	57815.4
13	57433	57879	57670.7
14	57377	57714	57557.2
15	57342	57615	57471.7
16	57290	57524	57401.7
17	57271	57465	57350.9
18	57250	57389	57314.7
19	57238	57346	57283.7
20	57230	57323	57261.8
21	57223	57278	57246.4
22	57205	57262	57235.5
23	57205	57252	57226.6
24	57205	57239	57219.6
25	57205	57233	57213.3
26	57205	57225	57207.9
27	57205	57222	57205.5
28	57205	57205	57205
trial...8
gene	min	max	ave
1	62805	65573	64229.8
2	61983	64210	63014.4
3	61200	63037	62030.8
4	60397	61896	61197.9
5	59608	61238	60481.8
6	59048	60427	59875.6
7	58813	60074	59360.6
8	58451	59299	58911.6
9	58088	58951	58542
10	57917	58675	58261.5
11	57726	58335	58028.7
12	57573	58085	57840.9
13	57471	57934	57690.7
14	57419	57760	57572.2
15	57320	57644	57478.4
16	57298	57530	57397.1
17	57254	57445	57336.9
18	57241	57364	57296.2
19	57230	57309	57266.4
20	57226	57283	57244.8
21	57205	57257	57231.8
22	57201	57237	57226.1
23	57201	57231	57221.5
24	57201	57229	57216.5
25	57201	57229	57210.8
26	57201	57224	57204.9
27	57201	57216	57202.1
28	57201	57216	57201.1
29	57201	57201	57201
trial...9
gene	min	max	ave
1	63188	65600	64312.1
2	62038	63858	63061.9
3	60755	62909	62058.1
4	60299	62004	61232.3
5	59702	61254	60523.4
6	59176	60612	59926.3
7	58886	59961	59429.1
8	58552	59411	58989.5
9	58213	58961	58630.3
10	58032	58698	58344.1
11	57862	58392	58111.8
12	57661	58160	57927.3
13	57539	58018	57786.1
14	57497	57831	57661.9
15	57430	57714	57567.6
16	57395	57636	57494.6
17	57358	57522	57441.5
18	57329	57461	57398.8
19	57319	57428	57366.6
20	57310	57396	57341.4
21	57294	57370	57322.8
22	57293	57339	57311.3
23	57291	57319	57302.3
24	57282	57312	57296.1
25	57282	57307	57291.2
26	57282	57298	57286.7
27	57282	57293	57283.7
28	57282	57291	57282.2
29	57282	57282	57282
trial...10
gene	min	max	ave
1	63094	65584	64252.7
2	61629	63911	63020
3	60797	62812	62013
4	60345	61826	61194.2
5	59848	61114	60503.9
6	58917	60444	59915.2
7	58598	59932	59415.4
8	58359	59476	58978.5
9	58147	59034	58628.3
10	57953	58695	58333.3
11	57787	58415	58093.1
12	57672	58165	57902
13	57541	57947	57747.3
14	57454	57806	57632.2
15	57394	57664	57532.2
16	57345	57583	57453.6
17	57312	57497	57391.9
18	57288	57457	57348.2
19	57275	57363	57317.5
20	57261	57333	57296.9
21	57252	57306	57282.6
22	57250	57300	57271.1
23	57250	57289	57260.8
24	57250	57275	57253.4
25	57250	57274	57250.8
26	57250	57255	57250.1
27	57250	57250	57250
opt count : 1
opt average : 57241.2
convergence generation : 27.7
