Instance : vm1084.tsp
opt distance : 239297
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	254367	265793	259137
2	251436	259858	254882
3	247948	254981	251646
4	245806	252688	249019
5	244749	249040	246929
6	243307	246862	245235
7	242050	245733	243839
8	241341	244138	242734
9	240521	242905	241820
10	240090	241921	241073
11	239864	241123	240501
12	239584	240811	240106
13	239460	240253	239829
14	239353	239907	239655
15	239332	239737	239532
16	239306	239605	239452
17	239301	239508	239403
18	239297	239454	239362
19	239297	239428	239330
20	239297	239418	239308
21	239297	239325	239300
22	239297	239303	239297
23	239297	239297	239297
trial...2
gene	min	max	ave
1	254051	267845	259405
2	250011	258742	255073
3	247676	255250	251738
4	246030	252409	249215
5	244244	249096	247111
6	243180	247357	245425
7	242118	245882	243977
8	241355	244466	242776
9	240718	243321	241799
10	240098	241864	241032
11	239795	241078	240440
12	239481	240481	240003
13	239357	240106	239716
14	239335	239787	239557
15	239314	239664	239476
16	239303	239527	239421
17	239297	239510	239368
18	239297	239488	239324
19	239297	239368	239302
20	239297	239322	239298
21	239297	239297	239297
trial...3
gene	min	max	ave
1	255087	264735	259312
2	251590	259559	255113
3	248506	255846	251990
4	247062	252425	249305
5	244865	249493	247149
6	243496	247081	245397
7	242210	245876	243943
8	241118	244213	242741
9	240483	243145	241784
10	240215	241866	241031
11	239815	241144	240453
12	239626	240640	240063
13	239526	240311	239784
14	239448	240029	239603
15	239360	239647	239493
16	239316	239519	239438
17	239310	239480	239402
18	239306	239440	239373
19	239303	239430	239353
20	239303	239379	239334
21	239303	239375	239318
22	239303	239349	239307
23	239303	239328	239303
24	239303	239303	239303
trial...4
gene	min	max	ave
1	251773	266756	259422
2	251139	259740	255135
3	247169	254818	251736
4	245868	251610	249029
5	244869	249257	246922
6	243013	247244	245200
7	241702	245345	243789
8	241158	243915	242604
9	240269	242740	241687
10	240054	241906	240906
11	239619	240972	240318
12	239401	240370	239884
13	239327	240004	239598
14	239308	239736	239424
15	239301	239529	239335
16	239297	239344	239310
17	239297	239322	239301
